row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2018 Triệu VND,31/12/2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2018 Triệu VND,numeric__31/12/2017 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,5.983.913,5.906.775,,4.0,5983913.0,5906775.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,8.613.434,1.965.587,,5.0,8613434.0,1965587.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,6.651.977,8.170.876,,6.0,6651977.0,8170876.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,5.311.569,6.924.232,,,5311569.0,6924232.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,1.340.960,1.247.196,,,1340960.0,1247196.0
3,A > 3,3,Dự phòng rủi ro,,(552),(552),,,-552.0,-552.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,-,63.250,,7.0,,63250.0
1,A > 1,1,Chứng khoán kinh doanh,,-,63.250,,,,63250.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,21.310,20.251,,8.0,21310.0,20251.0
VI,A > VI,VI,Cho vay khách hàng,,246.653.543,214.164.522,,,246653543.0,214164522.0
1,A > 1,1,Cho vay khách hàng,9,249.716.725,216.710.219,,9.0,249716725.0,216710219.0
3,A > 3,3,Dự phòng rủi ro cho vay khách hàng,10,(3.063.182),(2.545.697),,10.0,-3063182.0,-2545697.0
VII,A > VII,VII,Hoạt động mua nợ,11,544.786,643.784,,11.0,544786.0,643784.0
1,A > 1,1,Mua nợ,,549.040,648.763,,,549040.0,648763.0
2,A > 2,2,Dự phòng rủi ro hoạt động mua nợ,,(4.254),(4.979),,,-4254.0,-4979.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,75.461.189,73.188.019,,12.0,75461189.0,73188019.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,37.935.500,30.006.875,,,37935500.0,30006875.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,40.233.215,45.266.699,,,40233215.0,45266699.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(2.707.526),(2.085.555),,,-2707526.0,-2085555.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,2.766.381,3.007.720,,13.0,2766381.0,3007720.0
4,A > 4,4,Đầu tư vào công ty con,,2.967.294,2.967.294,,,2967294.0,2967294.0
5,A > 5,5,Đầu tư dài hạn khác,,279.270,279.727,,,279270.0,279727.0
6,A > 6,6,Dự phòng giảm giá đầu tư dài hạn,,(480.183),(239.301),,,-480183.0,-239301.0
X,A > X,X,Tài sản cố định,,7.735.785,7.554.249,,,7735785.0,7554249.0
1,A > 1,1,Tài sản cố định hữu hình,14,4.261.279,4.082.727,,14.0,4261279.0,4082727.0
a,A > a,a,Nguyên giá,,6.441.198,6.079.357,,,6441198.0,6079357.0
b,A > b,b,Giá trị hao mòn lũy kế,,(2.179.919),(1.996.630),,,-2179919.0,-1996630.0
3,A > 3,3,Tài sản cố định vô hình,15,3.474.506,3.471.522,,15.0,3474506.0,3471522.0
a,A > a,a,Nguyên giá,,4.359.005,4.263.562,,,4359005.0,4263562.0
b,A > b,b,Giá trị hao mòn lũy kế,,(884.499),(792.040),,,-884499.0,-792040.0
XII,A > XII,XII,Tài sản Có khác,,47.430.569,49.331.260,,,47430569.0,49331260.0
1,A > 1,1,Các khoản phải thu,16(a),23.627.216,23.835.706,,,23627216.0,23835706.0
2,A > 2,2,"Các khoản lãi, phí phải thu",16(b),23.109.974,24.698.384,,,23109974.0,24698384.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,23,50.429,59.915,,23.0,50429.0,59915.0
4,A > 4,4,Tài sản Có khác,16(c),1.113.720,1.242.404,,,1113720.0,1242404.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,16(d),(470.770),(505.149),,,-470770.0,-505149.0
,,,TỔNG TÀI SẢN,,401.862.887,364.016.293,,,401862887.0,364016293.0
