row_label_raw,row_label_full,col_0,Tỷ giá hối đoái tại ngày > 31/12/2018 VND,Tỷ giá hối đoái tại ngày > 31/12/2017 VND,numeric__Tỷ giá hối đoái tại ngày > 31/12/2018 VND,numeric__Tỷ giá hối đoái tại ngày > 31/12/2017 VND
AUD/VND,AUD/VND,AUD/VND,16.476,17.608,16476.0,17608.0
CAD/VND,CAD/VND,CAD/VND,17.021,17.943,17021.0,17943.0
CHF/VND,CHF/VND,CHF/VND,23.387,23.196,23387.0,23196.0
EUR/VND,EUR/VND,EUR/VND,26.559,27.131,26559.0,27131.0
GBP/VND,GBP/VND,GBP/VND,29.356,30.572,29356.0,30572.0
JPY/VND,JPY/VND,JPY/VND,"208,70","200,42",208.7,200.42
NZD/VND,NZD/VND,NZD/VND,15.573,15.985,15573.0,15985.0
SGD/VND,SGD/VND,SGD/VND,16.917,16.869,16917.0,16869.0
THB/VND,THB/VND,THB/VND,728,677,728.0,677.0
USD/VND,USD/VND,USD/VND,23.191,22.425,23191.0,22425.0
XAU/VND – SJC (chỉ),XAU/VND – SJC (chỉ),XAU/VND – SJC (chỉ),3.622.000,3.647.000,3622000.0,3647000.0
XBJ/VND – SBJ (chỉ),XBJ/VND – SBJ (chỉ),XBJ/VND – SBJ (chỉ),3.545.000,3.370.000,3545000.0,3370000.0
