row_label_raw,row_label_full,2018,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyểnTriệu VND,Tài sảncó định hữuhình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.711.789,1.571.181,597.813,198.574,6.079.357,3711789.0,1571181.0,597813.0,198574.0,6079357.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.788,91.514,92.241,48.387,251.930,19788.0,91514.0,92241.0,48387.0,251930.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(a)(i)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(a)(i)),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(a)(i)),192.538,212.816,8.189,2.963,416.506,192538.0,212816.0,8189.0,2963.0,416506.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(201.144),(15.414),(84.195),(5.830),(306.583),-201144.0,-15414.0,-84195.0,-5830.0,-306583.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(12),-,-,(12),,-12.0,,,-12.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.722.971,1.860.085,614.048,244.094,6.441.198,3722971.0,1860085.0,614048.0,244094.0,6441198.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,671.860,950.156,296.740,77.874,1.996.630,671860.0,950156.0,296740.0,77874.0,1996630.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,92.637,158.698,52.251,20.115,323.701,92637.0,158698.0,52251.0,20115.0,323701.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị hao mòn lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,3.894,-,-,3.894,,3894.0,,,3894.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(54.167),(14.473),(70.669),(4.985),(144.294),-54167.0,-14473.0,-70669.0,-4985.0,-144294.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(12),-,-,(12),,-12.0,,,-12.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,710.330,1.098.263,278.322,93.004,2.179.919,710330.0,1098263.0,278322.0,93004.0,2179919.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.039.929,621.025,301.073,120.700,4.082.727,3039929.0,621025.0,301073.0,120700.0,4082727.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.012.641,761.822,335.726,151.090,4.261.279,3012641.0,761822.0,335726.0,151090.0,4261279.0
