row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",4.117.502,916.366,199.825,673.082,5.906.775,4117502.0,916366.0,199825.0,673082.0,5906775.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.240.012,725.575,-,-,1.965.587,1240012.0,725575.0,,,1965587.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,6.727.841,1.050.882,24.611,368.094,8.171.428,6727841.0,1050882.0,24611.0,368094.0,8171428.0
Chứng khoán kinh doanh-gộp,Tài sản > Chứng khoán kinh doanh-gộp,Chứng khoán kinh doanh-gộp,63.250,-,-,-,63.250,63250.0,,,,63250.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,1.359.763,,48.836,43.859,1.452.458,1359763.0,,48836.0,43859.0,1452458.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,207.887.984,8.394.173,13.697,414.365,216.710.219,207887984.0,8394173.0,13697.0,414365.0,216710219.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,648.763,-,-,648.763,,648763.0,,,648763.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,75.273.574,-,-,-,75.273.574,75273574.0,,,,75273574.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",3.247.021,-,-,-,3.247.021,3247021.0,,,,3247021.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.554.249,-,-,-,7.554.249,7554249.0,,,,7554249.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,49.384.412,366.654,24,85.319,49.836.409,49384412.0,366654.0,24.0,85319.0,49836409.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),356.855.608,12.102.413,286.993,1.584.719,370.829.733,356855608.0,12102413.0,286993.0,1584719.0,370829733.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,231.484,-,-,-,231.484,231484.0,,,,231484.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,9.616.647,2.201.314,1.841,36.529,11.856.331,9616647.0,2201314.0,1841.0,36529.0,11856331.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,307.538.050,8.746.730,245.375,375.090,316.905.245,307538050.0,8746730.0,245375.0,375090.0,316905245.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,1.096.282,-,335.925,1.432.207,,1096282.0,,335925.0,1432207.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.415,-,-,-,1.415,1415.0,,,,1415.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,5.601.382,4,-,-,5.601.386,5601382.0,4.0,,,5601386.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,6.330.753,206.631,3.706,3.512,6.544.602,6330753.0,206631.0,3706.0,3512.0,6544602.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,22.875.830,-,-,-,22.875.830,22875830.0,,,,22875830.0
Tổng nợ phải trả và vốn chủ sở hữu (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu (2),Tổng nợ phải trả và vốn chủ sở hữu (2),352.195.561,12.250.961,250.922,751.056,365.448.500,352195561.0,12250961.0,250922.0,751056.0,365448500.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],4.660.047,(148.548),36.071,833.663,5.381.233,4660047.0,-148548.0,36071.0,833663.0,5381233.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),-,663.254,(51.522),(349.264),262.468,,663254.0,-51522.0,-349264.0,262468.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",4.660.047,514.706,(15.451),484.399,5.643.701,4660047.0,514706.0,-15451.0,484399.0,5643701.0
