row_label_raw,row_label_full,2018,Khu vựcMiền BắcTriệu VND,Khu vựcMiền TrungTriệu VND,Khu vựcMiền NamTriệu VND,Loại trừTriệu VND,TổngTriệu VND,numeric__Khu vựcMiền BắcTriệu VND,numeric__Khu vựcMiền TrungTriệu VND,numeric__Khu vựcMiền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__TổngTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,5.357.989,4.798.272,26.993.059,(11.396.561),25.752.759,5357989.0,4798272.0,26993059.0,-11396561.0,25752759.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(3.881.703),(3.001.197),(22.983.791),11.396.561,(18.470.130),-3881703.0,-3001197.0,-22983791.0,11396561.0,-18470130.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,1.476.286,1.797.075,4.009.268,-,7.282.629,1476286.0,1797075.0,4009268.0,,7282629.0
Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,215.831,173.581,3.406.058,-,3.795.470,215831.0,173581.0,3406058.0,,3795470.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,1.692.117,1.970.656,7.415.326,-,11.078.099,1692117.0,1970656.0,7415326.0,,11078099.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(731.784),(677.195),(6.260.186),-,(7.669.165),-731784.0,-677195.0,-6260186.0,,-7669165.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,960.333,1.293.461,1.155.140,-,3.408.934,960333.0,1293461.0,1155140.0,,3408934.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(1.341.763),-,(1.341.763),,,-1341763.0,,-1341763.0
TỔNG LỢI NHUẬN/(LỒ) TRƯỚC THUẾ,TỔNG LỢI NHUẬN/(LỒ) TRƯỚC THUẾ,TỔNG LỢI NHUẬN/(LỒ) TRƯỚC THUẾ,960.333,1.293.461,(186.623),-,2.067.171,960333.0,1293461.0,-186623.0,,2067171.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,,,,,
