row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2018 > Triệu VND > Thu nhập/(chi phí),2017 > Triệu VND > Thu nhập/(chi phí),numeric__2018 > Triệu VND > Thu nhập/(chi phí),numeric__2017 > Triệu VND > Thu nhập/(chi phí)
Các công ty con,Các công ty con,Các công ty con,,,,
Thu nhập lãi cho vay/tiền gửi,Các công ty con > Thu nhập lãi cho vay/tiền gửi,Thu nhập lãi cho vay/tiền gửi,45.896,45.010,45896.0,45010.0
Chi phí lãi tiền vay/tiền gửi,Các công ty con > Chi phí lãi tiền vay/tiền gửi,Chi phí lãi tiền vay/tiền gửi,(10.440),(19.790),-10440.0,-19790.0
Thu nhập từ hoạt động dịch vụ,Các công ty con > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,5.260,7.615,5260.0,7615.0
Chi phí hoạt động dịch vụ,Các công ty con > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(73),(3.469),-73.0,-3469.0
Chi phí hoạt động kinh doanh ngoại hối,Các công ty con > Chi phí hoạt động kinh doanh ngoại hối,Chi phí hoạt động kinh doanh ngoại hối,(206),(57),-206.0,-57.0
Thu nhập từ cổ tức,Các công ty con > Thu nhập từ cổ tức,Thu nhập từ cổ tức,-,104.208,,104208.0
Thu nhập từ hoạt động khác,Các công ty con > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,35.264,35.845,35264.0,35845.0
Chi phí hoạt động khác,Các công ty con > Chi phí hoạt động khác,Chi phí hoạt động khác,-,(23.601),,-23601.0
Mua tài sản cổ định,Các công ty con > Mua tài sản cổ định,Mua tài sản cổ định,-,(52.028),,-52028.0
Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,,,,
Thu nhập lãi cho vay,Các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập lãi cho vay,Thu nhập lãi cho vay,6,173,6.0,173.0
Chi phí lãi tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(1.465),(4.838),-1465.0,-4838.0
Thu nhập từ hoạt động dịch vụ,Các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,30,48,30.0,48.0
Thù lao sau thuế trả cho các Thành viên Hội đồng Quản trị và Ban Kiểm soát,Các Thành viên của Ban lãnh đạo Ngân hàng > Thù lao sau thuế trả cho các Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao sau thuế trả cho các Thành viên Hội đồng Quản trị và Ban Kiểm soát,(25.800),(18.477),-25800.0,-18477.0
Thu nhập sau thuế trả cho các Thành viên Ban Tổng Giám đốc,Các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập sau thuế trả cho các Thành viên Ban Tổng Giám đốc,Thu nhập sau thuế trả cho các Thành viên Ban Tổng Giám đốc,(51.077),(54.288),-51077.0,-54288.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,,,,
Thu nhập lãi cho vay/tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập lãi cho vay/tiền gửi,Thu nhập lãi cho vay/tiền gửi,330,58.678,330.0,58678.0
Chi phí trả lãi tiền gửi/tiền vay,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Chi phí trả lãi tiền gửi/tiền vay,Chi phí trả lãi tiền gửi/tiền vay,(3.067),(5.930),-3067.0,-5930.0
Thu nhập từ hoạt động dịch vụ,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,124,77,124.0,77.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,,,
Chi phí lãi tiền vay/tiền gửi,Cổ đông lớn > Chi phí lãi tiền vay/tiền gửi,Chi phí lãi tiền vay/tiền gửi,-,(341),,-341.0
Thu nhập từ hoạt động kinh doanh ngoại hối,Cổ đông lớn > Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,-,424,,424.0
Chi phí cho hoạt động kinh doanh ngoại hối,Cổ đông lớn > Chi phí cho hoạt động kinh doanh ngoại hối,Chi phí cho hoạt động kinh doanh ngoại hối,-,(285),,-285.0
Các bên liên quan đến Cổ đông lớn,Các bên liên quan đến Cổ đông lớn,Các bên liên quan đến Cổ đông lớn,,,,
Chi phí trả lãi tiền gửi,Các bên liên quan đến Cổ đông lớn > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,-,(70),,-70.0
Thu nhập từ hoạt động dịch vụ,Các bên liên quan đến Cổ đông lớn > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,-,30,,30.0
