row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,5.906.775,-,-,-,-,-,-,5.906.775,,5906775.0,,,,,,,5906775.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,1.965.587,-,-,-,-,-,1.965.587,,,1965587.0,,,,,,1965587.0
Tiền gửi và cho vay các tổ chức tín dụngkhác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụngkhác – gộp,Tiền gửi và cho vay các tổ chức tín dụngkhác – gộp,552,-,8.170.876,-,-,-,-,-,8.171.428,552.0,,8170876.0,,,,,,8171428.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,63.250,-,-,-,-,-,-,63.250,,63250.0,,,,,,,63250.0
Các công cụ tài chính phải sinh và các tàisản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tàisản tài chính khác,Các công cụ tài chính phải sinh và các tàisản tài chính khác,-,20.251,-,-,-,-,-,-,20.251,,20251.0,,,,,,,20251.0
Cho vay khách hàng – gộp (i),Tài sản > Cho vay khách hàng – gộp (i),Cho vay khách hàng – gộp (i),10.279.379,-,73.419.540,126.557.912,525.013,948.546,3.315.063,1.664.766,216.710.219,10279379.0,,73419540.0,126557912.0,525013.0,948546.0,3315063.0,1664766.0,216710219.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,-,648.763,-,-,-,-,648.763,,,,648763.0,,,,,648763.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,43.513.196,600.143,853.076,152.051,3.304.149,26.790.998,59.961,75.273.574,,43513196.0,600143.0,853076.0,152051.0,3304149.0,26790998.0,59961.0,75273574.0
"Gớp vốn, đầu tư dài hạn – gộp","Tài sản > Gớp vốn, đầu tư dài hạn – gộp","Gớp vốn, đầu tư dài hạn – gộp",-,3.247.021,-,-,-,-,-,-,3.247.021,,3247021.0,,,,,,,3247021.0
