row_label_raw,row_label_full,Số dư cuối năm,31/12/2018 > Triệu VND > Phải thu/(phải trả),31/12/2017 > Triệu VND > Phải thu/(phải trả),numeric__31/12/2018 > Triệu VND > Phải thu/(phải trả),numeric__31/12/2017 > Triệu VND > Phải thu/(phải trả)
Các công ty con,Các công ty con,Các công ty con,,,,
Cho vay,Các công ty con > Cho vay,Cho vay,1.340.408,1.246.644,1340408.0,1246644.0
Tiền gửi tại các công ty con,Các công ty con > Tiền gửi tại các công ty con,Tiền gửi tại các công ty con,1.248.131,321.369,1248131.0,321369.0
Tiền gửi của các công ty con,Các công ty con > Tiền gửi của các công ty con,Tiền gửi của các công ty con,(1.730.592),(1.137.945),-1730592.0,-1137945.0
Phải thu khác,Các công ty con > Phải thu khác,Phải thu khác,1.716,160.396,1716.0,160396.0
Phải trả khác,Các công ty con > Phải trả khác,Phải trả khác,(2.482),(8.139),-2482.0,-8139.0
Các Thành viên của Ban lãnh đạo Ngân hàng (*),Các Thành viên của Ban lãnh đạo Ngân hàng (*),Các Thành viên của Ban lãnh đạo Ngân hàng (*),,,,
Cho vay,Các Thành viên của Ban lãnh đạo Ngân hàng (*) > Cho vay,Cho vay,1.651,1.559,1651.0,1559.0
Tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng (*) > Tiền gửi,Tiền gửi,(78.124),(91.414),-78124.0,-91414.0
Chứng chỉ tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng (*) > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(150),(3.556),-150.0,-3556.0
Phải trả khác,Các Thành viên của Ban lãnh đạo Ngân hàng (*) > Phải trả khác,Phải trả khác,(1.108),1.066,-1108.0,1066.0
Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng,,,,
Cho vay,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng > Cho vay,Cho vay,678.882,21.497,678882.0,21497.0
Tiền gửi,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng > Tiền gửi,Tiền gửi,(205.091),(115.961),-205091.0,-115961.0
Chứng chỉ tiền gửi,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(11.030),(12.050),-11030.0,-12050.0
Phải thu khác,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng > Phải thu khác,Phải thu khác,2.472,103,2472.0,103.0
Phải trả khác,Các bên liên quan của các Thành viên của Ban lãnh đạo Ngân hàng > Phải trả khác,Phải trả khác,(2.336),(1.584),-2336.0,-1584.0
Các bên liên quan đến các Cổ đông lớn (sở hữu trên 5% vốn điều lệ),Các bên liên quan đến các Cổ đông lớn (sở hữu trên 5% vốn điều lệ),Các bên liên quan đến các Cổ đông lớn (sở hữu trên 5% vốn điều lệ),,,,
Tiền gửi,Các bên liên quan đến các Cổ đông lớn (sở hữu trên 5% vốn điều lệ) > Tiền gửi,Tiền gửi,-,(13.155),,-13155.0
