row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động/ kinh doanh,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết,Tỷ lệ sở hữu và quyền biểu quyết_1,numeric__Giấy phép hoạt động/ kinh doanh,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__Tỷ lệ sở hữu và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động/ kinh doanh,Lĩnh vực kinh doanh,31/12/2018,31/12/2017,,,,
Công ty TNHH MTV Hypertek,Tên công ty > Công ty TNHH MTV Hypertek,Công ty TNHH MTV Hypertek,0309998954,"Mua bán máy móc thiết bị, cung cấp giải pháp và dịch vụ công nghệ thông tin",(**),100%,309998954.0,,,1.0
