row_label_raw,row_label_full,2018,Phát sinh trong năm > Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đãnộp/cấn trừTriệu VND,Phát sinh trong năm > Số duracyuối nămTriệu VND,numeric__Phát sinh trong năm > Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đãnộp/cấn trừTriệu VND,numeric__Phát sinh trong năm > Số duracyuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(49.021),403.532,(307.355),47.156,-49021.0,403532.0,-307355.0,47156.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,35.168,443.016,(448.992),29.192,35168.0,443016.0,-448992.0,29192.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,33.457,261.035,(253.517),40.975,33457.0,261035.0,-253517.0,40975.0
,,,19.604,1.107.583,(1.009.864),117.323,19604.0,1107583.0,-1009864.0,117323.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Thuế TNDN nộp thừa(Thuyết minh 16(a)),Trong đó: > Thuế TNDN nộp thừa(Thuyết minh 16(a)),Thuế TNDN nộp thừa(Thuyết minh 16(a)),(49.046),,,-,-49046.0,,,
Thuế và các khoản phải nộpNhà nước (Thuyết minh 22),Trong đó: > Thuế và các khoản phải nộpNhà nước (Thuyết minh 22),Thuế và các khoản phải nộpNhà nước (Thuyết minh 22),68.650,,,117.323,68650.0,,,117323.0
2017,2017,2017,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,,,,
2017,2017,2017,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đãnộp/cấn trừTriệu VND,Số duracyuối nămTriệu VND,,,,
Thuế thu nhập doanh nghiệp,2017 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(237.694),219.086,(30.413),(49.021),-237694.0,219086.0,-30413.0,-49021.0
Thuế giá trị gia tăng,2017 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,26.237,341.866,(332.935),35.168,26237.0,341866.0,-332935.0,35168.0
Các loại thuế khác,2017 > Các loại thuế khác,Các loại thuế khác,32.747,205.725,(205.015),33.457,32747.0,205725.0,-205015.0,33457.0
,,,(178.710),766.677,(568.363),19.604,-178710.0,766677.0,-568363.0,19604.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Thuế TNDN nộp thừa,Trong đó: > Thuế TNDN nộp thừa,Thuế TNDN nộp thừa,(238.364),,,(49.046),-238364.0,,,-49046.0
Thuế và các khoản phải nộpNhà nước,Trong đó: > Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,59.654,,,68.650,59654.0,,,68650.0
