row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018 > Quá hạn trên3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Quá hạn đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Đến 1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Từ trên 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Từ trên 3 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Từ trên 1 đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Trong hạn > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Quá hạn trên3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Quá hạn đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Đến 1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Trong hạn > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Trong hạn > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,5.983.913,-,-,-,-,5.983.913,,,5983913.0,,,,,5983913.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.613.434,-,-,-,-,8.613.434,,,8613434.0,,,,,8613434.0
Tiền gửi và cho vay các TCTD khác –gộp,Tài sản > Tiền gửi và cho vay các TCTD khác –gộp,Tiền gửi và cho vay các TCTD khác –gộp,552,-,6.651.977,-,-,-,-,6.652.529,552.0,,6651977.0,,,,,6652529.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,-,21.310,-,-,-,-,21.310,,,21310.0,,,,,21310.0
Cho vay khách hàng – gộp (i) (*),Tài sản > Cho vay khách hàng – gộp (i) (*),Cho vay khách hàng – gộp (i) (*),1.608.314,855.987,14.494.897,30.145.360,73.975.375,62.024.059,66.612.733,249.716.725,1608314.0,855987.0,14494897.0,30145360.0,73975375.0,62024059.0,66612733.0,249716725.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,-,-,-,-,549.040,549.040,,,,,,,549040.0,549040.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,37.409.640,225.860,-,3.015.948,37.517.267,78.168.715,,,37409640.0,225860.0,,3015948.0,37517267.0,78168715.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,3.246.564,3.246.564,,,,,,,3246564.0,3246564.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,92,630,12.523,466.351,7.256.189,7.735.785,,,92.0,630.0,12523.0,466351.0,7256189.0,7735785.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),985.288,-,7.699.900,626.552,2.597.707,15.234.309,20.757.583,47.901.339,985288.0,,7699900.0,626552.0,2597707.0,15234309.0,20757583.0,47901339.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.594.154,855.987,80.875.163,30.998.402,76.585.605,80.740.667,135.939.376,408.589.354,2594154.0,855987.0,80875163.0,30998402.0,76585605.0,80740667.0,135939376.0,408589354.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,5.054.082,22.092,69.413,146.934,565,5.293.086,,,5054082.0,22092.0,69413.0,146934.0,565.0,5293086.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,5.275.881,999.271,554.445,681.134,3.106,7.513.837,,,5275881.0,999271.0,554445.0,681134.0,3106.0,7513837.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,141.538.657,76.102.676,89.323.153,38.814.634,53.305,345.832.425,,,141538657.0,76102676.0,89323153.0,38814634.0,53305.0,345832425.0
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,708,-,-,708,,,,,708.0,,,708.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600,-,-,438.940,7.626.369,8.065.909,,,600.0,,,438940.0,7626369.0,8065909.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,4.857.285,1.780.056,3.310.800,1.034.668,8.772,10.991.581,,,4857285.0,1780056.0,3310800.0,1034668.0,8772.0,10991581.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,156.726.505,78.904.095,93.258.519,41.116.310,7.692.117,377.697.546,,,156726505.0,78904095.0,93258519.0,41116310.0,7692117.0,377697546.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],2.594.154,855.987,(75.851.342),(47.905.693),(16.672.914),39.624.357,128.247.259,30.891.808,2594154.0,855987.0,-75851342.0,-47905693.0,-16672914.0,39624357.0,128247259.0,30891808.0
