row_label_raw,row_label_full,2017,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.228.191,777.130,4.005.321,3228191.0,777130.0,4005321.0
Tăng đo mua mới và nâng cấp trong năm,Nguyên giá > Tăng đo mua mới và nâng cấp trong năm,Tăng đo mua mới và nâng cấp trong năm,-,100,100,,100.0,100.0
Chuyên từ chi phí xây dựng cơ bản dở dang(Thuyết minh 16(a)(i)),Nguyên giá > Chuyên từ chi phí xây dựng cơ bản dở dang(Thuyết minh 16(a)(i)),Chuyên từ chi phí xây dựng cơ bản dở dang(Thuyết minh 16(a)(i)),60.519,51.369,111.888,60519.0,51369.0,111888.0
Chuyên từ tài sản nhận cán trừ nợ,Nguyên giá > Chuyên từ tài sản nhận cán trừ nợ,Chuyên từ tài sản nhận cán trừ nợ,278.070,-,278.070,278070.0,,278070.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(126.669),(5.148),(131.817),-126669.0,-5148.0,-131817.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.440.111,823.451,4.263.562,3440111.0,823451.0,4263562.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,119.482,589.775,709.257,119482.0,589775.0,709257.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.498,64.751,88.249,23498.0,64751.0,88249.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(318),(5.148),(5.466),-318.0,-5148.0,-5466.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,142.662,649.378,792.040,142662.0,649378.0,792040.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.108.709,187.355,3.296.064,3108709.0,187355.0,3296064.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.297.449,174.073,3.471.522,3297449.0,174073.0,3471522.0
