row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,Thặng dưvớncổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,VốnkhácTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹ dựphòng tàichínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lợinhuaệnchưa phânphốiTriệu VND,Chênh lệchtỷ giáhối đoáiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,numeric__Thặng dưvớncổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__VốnkhácTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹ dựphòng tàichínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lợinhuaệnchưa phânphốiTriệu VND,numeric__Chênh lệchtỷ giáhối đoáiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày1 tháng 1 năm2017,Số dư tại ngày1 tháng 1 năm2017,Số dư tại ngày1 tháng 1 năm2017,18.852.157,1.121,63.612,(750.911),653,819.112,1.340.174,83.479,1.224.405,118.046,21.751.848,18852157.0,1121.0,63612.0,-750911.0,653.0,819112.0,1340174.0,83479.0,1224405.0,118046.0,21751848.0
Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,-,-,-,1.228.869,-,1.228.869,,,,,,,,,1228869.0,,1228869.0
Trích lập các quỹdự trữ bắt buộc chonăm trước,Trích lập các quỹdự trữ bắt buộc chonăm trước,Trích lập các quỹdự trữ bắt buộc chonăm trước,-,-,-,-,-,30.670,58.276,-,(88.946),-,-,,,,,,30670.0,58276.0,,-88946.0,,
Trích lập quỹ khenthường và phúc lợi,Trích lập quỹ khenthường và phúc lợi,Trích lập quỹ khenthường và phúc lợi,-,-,-,-,-,-,-,-,(104.896),-,(104.896),,,,,,,,,-104896.0,,-104896.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,9,-,9,,,,,,,,,9.0,,9.0
Số dư tại ngày31 tháng 12 năm2017,Số dư tại ngày31 tháng 12 năm2017,Số dư tại ngày31 tháng 12 năm2017,18.852.157,1.121,63.612,(750.911),653,849.782,1.398.450,83.479,2.259.441,118.046,22.875.830,18852157.0,1121.0,63612.0,-750911.0,653.0,849782.0,1398450.0,83479.0,2259441.0,118046.0,22875830.0
