row_label_raw,row_label_full,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,31/12/2018Triệu VND > Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,31/12/2017Triệu VND > Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,numeric__31/12/2018Triệu VND > Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,numeric__31/12/2017Triệu VND > Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc
▪ Bằng VND,▪ Bằng VND,▪ Bằng VND,7.746.359,1.240.012,7746359.0,1240012.0
▪ Bằng USD,▪ Bằng USD,▪ Bằng USD,867.075,725.575,867075.0,725575.0
,,,8.613.434,1.965.587,8613434.0,1965587.0
