row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,numeric__Máy móc thiết bị VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,169.433.832.365,169433832365.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh 10(a)),Nguyên giá > Chuyển sang tài sản cố định hữu hình (Thuyết minh 10(a)),Chuyển sang tài sản cố định hữu hình (Thuyết minh 10(a)),(169.433.832.365),-169433832365.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,18.797.735.339,18797735339.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.648.853.638,5648853638.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh 10(a)),Giá trị khấu hao lũy kế > Chuyển sang tài sản cố định hữu hình (Thuyết minh 10(a)),Chuyển sang tài sản cố định hữu hình (Thuyết minh 10(a)),(24.446.588.977),-24446588977.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,150.636.097.026,150636097026.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,
