row_label_raw,row_label_full,col_0,col_1,Tại ngày 1.1.2021,Tại ngày 1.1.2021_1,Số phải nộp/cấn trừ trong kỳ VND,Số đã thực nộp/phải thu trong kỳ VND,Tại ngày 31.12.2021,Tại ngày 31.12.2021_1,numeric__col_1,numeric__Tại ngày 1.1.2021,numeric__Tại ngày 1.1.2021_1,numeric__Số phải nộp/cấn trừ trong kỳ VND,numeric__Số đã thực nộp/phải thu trong kỳ VND,numeric__Tại ngày 31.12.2021,numeric__Tại ngày 31.12.2021_1
,,,,Phải thu VND,Phải nộp VND,Số phải nộp/cấn trừ trong kỳ VND,Số đã thực nộp/phải thu trong kỳ VND,Phải thu VND,Phải nộp VND,,,,,,,
,,,Thuế GTGT được khấu trừ,67.312.699.161,-,3.091.429.427.574,3.828.461.309.839,804.344.581.426,-,,67312699161.0,,3091429427574.0,3828461309839.0,804344581426.0,
,,,Thuế GTGT hàng bán trong nước,-,-,875.668.800.478,875.668.800.478,-,-,,,,875668800478.0,875668800478.0,,
,,,Thuế GTGT hàng nhập khẩu,-,31.432.237.406,934.611.648.928,897.540.558.624,-,68.503.327.710,,,31432237406.0,934611648928.0,897540558624.0,,68503327710.0
,,,"Thuế xuất, nhập khẩu",-,43.882.158,4.395.679.472,3.385.798.697,-,1.053.762.933,,,43882158.0,4395679472.0,3385798697.0,,1053762933.0
,,,Thuế TNDN hiện hành,-,16.566.894.692,310.446.619.798,216.566.894.692,-,110.446.619.798,,,16566894692.0,310446619798.0,216566894692.0,,110446619798.0
,,,Thuế thu nhập cá nhân,-,2.637.778.754,9.807.360.250,10.516.482.641,-,1.928.656.363,,,2637778754.0,9807360250.0,10516482641.0,,1928656363.0
,,,Các loại thuế khác,-,-,857.635.660,623.735.740,-,233.899.920,,,,857635660.0,623735740.0,,233899920.0
,,,,67.312.699.161,50.680.793.010,5.227.217.172.160,5.832.763.580.711,804.344.581.426,182.166.266.724,,67312699161.0,50680793010.0,5227217172160.0,5832763580711.0,804344581426.0,182166266724.0
16,16,16,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,,
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,
,,,,Tại ngày 1.1.2021 VND,Tăng VND,Giảm VND,Nợ dài hạn đến hạn trả VND,Đánh giá lại cuối năm VND,Tại ngày 31.12.2021 VND,,,,,,,
,,,Vay ngân hàng (*),2.468.663.849.028,21.070.601.295.868,(20.058.907.644.016),291.300.000.000,1.497.232.237,3.773.154.733.117,,2468663849028.0,21070601295868.0,-20058907644016.0,291300000000.0,1497232237.0,3773154733117.0
,,,Nợ thuê tài chính,21.559.995.996,-,(32.339.993.994),10.779.997.998,-,-,,21559995996.0,,-32339993994.0,10779997998.0,,
,,,,2.490.223.845.024,21.070.601.295.868,(20.091.247.638.010),302.079.997.998,1.497.232.237,3.773.154.733.117,,2490223845024.0,21070601295868.0,-20091247638010.0,302079997998.0,1497232237.0,3773154733117.0
