row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,2021 VND,2020 VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__2021 VND,numeric__2020 VND
100,100,100,TÀI SẢN NGĂN HẠN,,11.987.188.782.858,4.484.297.592.270,,,11987188782858.0,4484297592270.0
110,110,110,Tiền và các khoản tương đương tiền,3,733.868.550.839,207.650.148.575,,3.0,733868550839.0,207650148575.0
111,111,111,Tiền,,653.376.769.119,33.960.148.575,,,653376769119.0,33960148575.0
112,112,112,Các khoản tương đương tiền,,80.491.781.720,173.690.000.000,,,80491781720.0,173690000000.0
120,120,120,Đầu tư tài chính ngắn hạn,,447.713.546.612,369.526.402.595,,,447713546612.0,369526402595.0
121,121,121,Chứng khoán kinh doanh,4(a),9.353.176,9.353.176,,,9353176.0,9353176.0
123,123,123,Đầu tư nằm giữ đến ngày đáo hạn,4(b),447.704.193.436,369.517.049.419,,,447704193436.0,369517049419.0
130,130,130,Các khoản phải thu ngắn hạn,,2.091.465.026.340,1.609.269.098.271,,,2091465026340.0,1609269098271.0
131,131,131,Phải thu ngắn hạn của khách hàng,5,1.720.152.672.676,1.398.922.463.288,,5.0,1720152672676.0,1398922463288.0
132,132,132,Trả trước cho người bán ngắn hạn,6,314.542.485.362,195.698.555.218,,6.0,314542485362.0,195698555218.0
136,136,136,Phải thu ngắn hạn khác,7(a),63.029.325.063,17.406.431.191,,,63029325063.0,17406431191.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,5,(6.259.456.761),(2.758.351.426),,5.0,-6259456761.0,-2758351426.0
140,140,140,Hàng tồn kho,,7.896.369.016.191,2.221.606.636.368,,,7896369016191.0,2221606636368.0
141,141,141,Hàng tồn kho,8,8.316.704.122.290,2.221.606.636.368,,8.0,8316704122290.0,2221606636368.0
149,149,149,Dự phòng giảm giá hàng tồn kho,8,(420.335.106.099),-,,8.0,-420335106099.0,
150,150,150,Tài sản ngắn hạn khác,,817.772.642.876,76.245.306.461,,,817772642876.0,76245306461.0
151,151,151,Chi phí trả trước ngắn hạn,9(a),13.428.061.450,8.932.607.300,,,13428061450.0,8932607300.0
152,152,152,"Thuế Giá trị Gia tăng (""GTGT"") được khấu trừ",15,804.344.581.426,67.312.699.161,,15.0,804344581426.0,67312699161.0
