row_label_raw,row_label_full,Ông Hồ Minh Quang,Chủ tịch,300.000.000,120.000.000,numeric__Chủ tịch,numeric__300.000.000,numeric__120.000.000
Ông Võ Hoàng Vũ,Ông Võ Hoàng Vũ,Ông Võ Hoàng Vũ,Thành viên,200.000.000,30.495.000,,200000000.0,30495000.0
Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Thành viên,140.000.000,60.000.000,,140000000.0,60000000.0
Bà Nguyễn Ngọc fiscal Nhi,Bà Nguyễn Ngọc fiscal Nhi,Bà Nguyễn Ngọc fiscal Nhi,Thành viên,140.000.000,30.495.000,,140000000.0,30495000.0
Ông Võ Thời,Ông Võ Thời,Ông Võ Thời,Thành viên,140.000.000,-,,140000000.0,
Ông Nguyễn Hữu Kinh Luân,Ông Nguyễn Hữu Kinh Luân,Ông Nguyễn Hữu Kinh Luân,Thành viên,140.000.000,-,,140000000.0,
,,,Thành viên,,,,,
Ông Phạm Mạnh Hùng,Ông Phạm Mạnh Hùng,Ông Phạm Mạnh Hùng,(đến ngày 1.9.2019),-,40.055.000,,,40055000.0
,,,Thành viên,,,,,
Bà Trần Uyền Nhàn,Bà Trần Uyền Nhàn,Bà Trần Uyền Nhàn,(đến ngày 29.6.2019),-,29.505.000,,,29505000.0
,,,Thành viên,,,,,
Ông Lương Thanh Bình,Ông Lương Thanh Bình,Ông Lương Thanh Bình,(đến ngày 29.6.2019),-,29.505.000,,,29505000.0
