row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,630.797.657.951,3.558.175.797.793,245.614.601.942,14.489.493.671,725.753.480,4.449.803.304.837,630797657951.0,3558175797793.0,245614601942.0,14489493671.0,725753480.0,4449803304837.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,17.177.422.969,1.275.000.000,-,-,18.452.422.969,,17177422969.0,1275000000.0,,,18452422969.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),-,-,-,173.180.000,-,173.180.000,,,,173180000.0,,173180000.0
Chuyển từ tài sản cố định thuểtài chính (Thuyết minh 10(b)),Nguyên giá > Chuyển từ tài sản cố định thuểtài chính (Thuyết minh 10(b)),Chuyển từ tài sản cố định thuểtài chính (Thuyết minh 10(b)),-,169.433.832.365,-,-,-,169.433.832.365,,169433832365.0,,,,169433832365.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,630.797.657.951,3.744.787.053.127,246.889.601.942,14.662.673.671,725.753.480,4.637.862.740.171,630797657951.0,3744787053127.0,246889601942.0,14662673671.0,725753480.0,4637862740171.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,240.209.322.879,1.526.760.437.366,90.835.098.420,6.397.309.944,402.803.346,1.864.604.971.955,240209322879.0,1526760437366.0,90835098420.0,6397309944.0,402803346.0,1864604971955.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,43.202.994.238,287.570.911.283,17.806.361.203,1.607.784.845,50.242.963,350.238.294.532,43202994238.0,287570911283.0,17806361203.0,1607784845.0,50242963.0,350238294532.0
Chuyển từ tài sản cố định thuểtài chính (Thuyết minh 10(b)),Giá trị khấu hao lũy kế > Chuyển từ tài sản cố định thuểtài chính (Thuyết minh 10(b)),Chuyển từ tài sản cố định thuểtài chính (Thuyết minh 10(b)),-,24.446.588.977,-,-,-,24.446.588.977,,24446588977.0,,,,24446588977.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,283.412.317.117,1.838.777.937.626,108.641.459.623,8.005.094.789,453.046.309,2.239.289.855.464,283412317117.0,1838777937626.0,108641459623.0,8005094789.0,453046309.0,2239289855464.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,390.588.335.072,2.031.415.360.427,154.779.503.522,8.092.183.727,322.950.134,2.585.198.332.882,390588335072.0,2031415360427.0,154779503522.0,8092183727.0,322950134.0,2585198332882.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,347.385.340.834,1.906.009.115.501,138.248.142.319,6.657.578.882,272.707.171,2.398.572.884.707,347385340834.0,1906009115501.0,138248142319.0,6657578882.0,272707171.0,2398572884707.0
