row_label_raw,row_label_full,Mã số,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,27.973.974.888.418,11.431.817.603.411,,27973974888418.0,11431817603411.0
02,02,02,Các khoản giảm trừ doanh thu,(21.732.929.498),(44.126.054.093),,-21732929498.0,-44126054093.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,21,11.387.691.549.318,,21.0,11387691549318.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,22,(10.580.124.355.813),,22.0,-10580124355813.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,3.893.554.760.008,807.567.193.505,,3893554760008.0,807567193505.0
21,21,21,Doanh thu hoạt động tài chính,23,89.031.582.961,,23.0,89031582961.0
22,22,22,Chi phí tài chính,24,(274.544.804.736),,24.0,-274544804736.0
23,23,23,- Trong đó: Chi phí lãi vay,(241.370.636.642),(215.669.541.825),,-241370636642.0,-215669541825.0
25,25,25,Chi phí bán hàng,25,(267.661.442.035),,25.0,-267661442035.0
26,26,26,Chi phí quản lý doanh nghiệp,26,(85.601.286.175),,26.0,-85601286175.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,2.188.889.434.475,268.791.243.520,,2188889434475.0,268791243520.0
31,31,31,Thu nhập khác,10.744.670.934,3.795.089.584,,10744670934.0,3795089584.0
32,32,32,Chi phí khác,(29.601.665),(162.196.012),,-29601665.0,-162196012.0
40,40,40,Lợi nhuận khác,27,3.632.893.572,,27.0,3632893572.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,2.199.604.503.744,272.424.137.092,,2199604503744.0,272424137092.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",28,(25.194.222.196),,28.0,-25194222196.0
52,52,52,Chi phí thuế TNDN hoãn lại,28,-,,28.0,
60,60,60,Lợi nhuận sau thuế TNDN,1.889.157.883.946,247.229.914.896,,1889157883946.0,247229914896.0
