row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tại ngày 01 tháng 01 năm2024,Tại ngày 01 tháng 01 năm2024,Tại ngày 01 tháng 01 năm2024,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),4.039.359.698.763,3.922.654.507.752,2.704.559.126.785,34.119.429.170.920,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,4039359698763.0,3922654507752.0,2704559126785.0,34119429170920.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.111.588.278.970,99.753.676.196,1.211.341.955.166,,,,,,1111588278970.0,99753676196.0,1211341955166.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,-,386.721.644.015,(386.721.644.015),-,-,,,,,386721644015.0,-386721644015.0,,
"Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)",-,-,-,-,-,(214.401.831.301),(17.122.349.703),(231.524.181.004),,,,,,-214401831301.0,-17122349703.0,-231524181004.0
Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV,Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV,Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV,-,-,-,-,-,(284.118.912.232),-,(284.118.912.232),,,,,,-284118912232.0,,-284118912232.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(134.133.414.578),(134.133.414.578),,,,,,,-134133414578.0,-134133414578.0
Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,-,-,-,-,-,-,21.000.000.000,21.000.000.000,,,,,,,21000000000.0,21000000000.0
Ảnh hưởng do thay đổi tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu công ty con,-,-,-,-,-,(1.627.201.809),1.627.201.809,-,,,,,,-1627201809.0,1627201809.0,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(17.098.355.420),(4.261.352.186),(21.359.707.606),,,,,,-17098355420.0,-4261352186.0,-21359707606.0
Tại ngày 31 tháng 12 năm2024,Tại ngày 31 tháng 12 năm2024,Tại ngày 31 tháng 12 năm2024,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),4.426.081.342.778,4.130.274.841.945,2.671.422.888.323,34.680.634.910.666,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,4426081342778.0,4130274841945.0,2671422888323.0,34680634910666.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.426.656.979.064,580.484.478.211,3.007.141.457.275,,,,,,2426656979064.0,580484478211.0,3007141457275.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,-,397.128.675.216,(397.128.675.216),-,-,,,,,397128675216.0,-397128675216.0,,
"Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)",-,-,-,-,-,(216.011.716.763),(17.583.444.357),(233.595.161.120),,,,,,-216011716763.0,-17583444357.0,-233595161120.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(233.477.349.312),(233.477.349.312),,,,,,,-233477349312.0,-233477349312.0
Phát hành cổ phiếu để trả cổ tức và tầng vốn cổ phần tử nguồn vốn chủ sở hữu (ii),Phát hành cổ phiếu để trả cổ tức và tầng vốn cổ phần tử nguồn vốn chủ sở hữu (ii),Phát hành cổ phiếu để trả cổ tức và tầng vốn cổ phần tử nguồn vốn chủ sở hữu (ii),4.449.494.960.000,-,-,-,(3.512.771.040.000),(936.723.920.000),-,-,4449494960000.0,,,,-3512771040000.0,-936723920000.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(4.795.522.011),-,(4.795.522.011),,,,,,-4795522011.0,,-4795522011.0
Tại ngày 31 tháng 12 năm2025,Tại ngày 31 tháng 12 năm2025,Tại ngày 31 tháng 12 năm2025,27.868.210.960.000,(274.807.025),225.720.372.645,(191.305.728.000),1.310.438.977.994,5.002.271.987.019,3.000.846.572.865,37.215.908.335.498,27868210960000.0,-274807025.0,225720372645.0,-191305728000.0,1310438977994.0,5002271987019.0,3000846572865.0,37215908335498.0
