row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh điện khí,Sản xuất và kinh doanh điện than,Sản xuất và kinh doanh thủy điện,Khác,Loại trừ,Tổng,numeric__Sản xuất và kinh doanh điện khí,numeric__Sản xuất và kinh doanh điện than,numeric__Sản xuất và kinh doanh thủy điện,numeric__Khác,numeric__Loại trừ,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,20.879.473.885.434,11.452.748.199.041,1.783.032.328.250,190.886.059.190,-,34.306.140.471.915,20879473885434.0,11452748199041.0,1783032328250.0,190886059190.0,,34306140471915.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(18.860.772.000.312),(9.978.326.752.547),(860.825.744.846),(130.485.236.058),2.822.875.586,(29.827.586.858.177),-18860772000312.0,-9978326752547.0,-860825744846.0,-130485236058.0,2822875586.0,-29827586858177.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.018.701.885.122,1.474.421.446.494,922.206.583.404,60.400.823.132,2.822.875.586,4.478.553.613.738,2018701885122.0,1474421446494.0,922206583404.0,60400823132.0,2822875586.0,4478553613738.0
Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,,,,,,(1.247.246.508.966),,,,,,-1247246508966.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,1.031.587.911.031,,,,,,1031587911031.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,4.817.527.376,,,,,,4817527376.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(1.033.518.482.873),,,,,,-1033518482873.0
Lãi khác,Lãi khác,Lãi khác,,,,,,69.005.737,,,,,,69005737.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,3.234.263.066.043,,,,,,3234263066043.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,(227.121.608.768),,,,,,-227121608768.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,3.007.141.457.275,,,,,,3007141457275.0
