row_label_raw,row_label_full,Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phổ thông (VND),Năm nay > 2.426.656.979.064,Năm trước(Trình bày lại) > 1.111.588.278.970,numeric__Năm nay > 2.426.656.979.064,numeric__Năm trước(Trình bày lại) > 1.111.588.278.970
"Trừ: Trích lập Quỹ khen thưởng, phúc lợi (VND)","Trừ: Trích lập Quỹ khen thưởng, phúc lợi (VND)","Trừ: Trích lập Quỹ khen thưởng, phúc lợi (VND)",-,(216.011.716.763),,-216011716763.0
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),2.426.656.979.064,895.576.562.207,2426656979064.0,895576562207.0
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),2.786.821.096,2.786.821.096,2786821096.0,2786821096.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),871,321,871.0,321.0
