row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh điện khí,Sản xuất và kinh doanh điện than,Sản xuất và kinh doanh thủy điện,Khác,Loại trừ,Tổng,numeric__Sản xuất và kinh doanh điện khí,numeric__Sản xuất và kinh doanh điện than,numeric__Sản xuất và kinh doanh thủy điện,numeric__Khác,numeric__Loại trừ,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,18.007.910.167.070,10.830.470.027.901,1.315.440.405.148,151.813.668.530,-,30.305.634.268.649,18007910167070.0,10830470027901.0,1315440405148.0,151813668530.0,,30305634268649.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(17.270.438.484.682),(10.228.737.969.205),(727.402.888.076),(82.220.572.221),835.322.694,(28.307.964.591.490),-17270438484682.0,-10228737969205.0,-727402888076.0,-82220572221.0,835322694.0,-28307964591490.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,737.471.682.388,601.732.058.696,588.037.517.072,69.593.096.309,835.322.694,1.997.669.677.159,737471682388.0,601732058696.0,588037517072.0,69593096309.0,835322694.0,1997669677159.0
Chỉ phí bán hàng và chi phí quản lý,Chỉ phí bán hàng và chi phí quản lý,Chỉ phí bán hàng và chi phí quản lý,,,,,,(877.790.745.775),,,,,,-877790745775.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,566.095.305.919,,,,,,566095305919.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,42.199.990.018,,,,,,42199990018.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(845.430.985.696),,,,,,-845430985696.0
Lãi khác,Lãi khác,Lãi khác,,,,,,500.497.925.002,,,,,,500497925002.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,1.383.241.166.627,,,,,,1383241166627.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,(171.899.211.461),,,,,,-171899211461.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,1.211.341.955.166,,,,,,1211341955166.0
