row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > (Giảm),Trong năm > VND Tăng chênh lệch tỷ giá,Trong năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > (Giảm),numeric__Trong năm > VND Tăng chênh lệch tỷ giá,numeric__Trong năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,12.346.440.481.181,12.346.440.481.181,25.717.239.571.851,(28.724.334.830.756),25.368.920.552,9.364.714.142.828,9.364.714.142.828,12346440481181.0,12346440481181.0,25717239571851.0,-28724334830756.0,25368920552.0,9364714142828.0,9364714142828.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.161.662.066.509,1.161.662.066.509,1.879.240.177.800,(1.161.662.066.507),5.658.631.796,1.884.898.809.598,1.884.898.809.598,1161662066509.0,1161662066509.0,1879240177800.0,-1161662066507.0,5658631796.0,1884898809598.0,1884898809598.0
,,,13.508.102.547.690,13.508.102.547.690,27.596.479.749.651,(29.885.996.897.263),31.027.552.348,11.249.612.952.426,11.249.612.952.426,13508102547690.0,13508102547690.0,27596479749651.0,-29885996897263.0,31027552348.0,11249612952426.0,11249612952426.0
