row_label_raw,row_label_full,Cổ đông,Theo Giấy chứng nhận đăng ký doanh nghiệp,Theo Giấy chứng nhận đăng ký doanh nghiệp_1,Vốn đã góp tại ngày cuối năm,Vốn đã góp tại ngày cuối năm_1,Vốn đã góp tại ngày đầu năm,Vốn đã góp tại ngày đầu năm_1,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp_1,numeric__Vốn đã góp tại ngày cuối năm,numeric__Vốn đã góp tại ngày cuối năm_1,numeric__Vốn đã góp tại ngày đầu năm,numeric__Vốn đã góp tại ngày đầu năm_1
Cổ đông,Cổ đông,Cổ đông,VND,%,VND,%,VND,%,,,,,,
Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Cổ đông > Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,22.278.483.570.000,"79,94",22.278.483.570.000,"79,94",18.721.414.770.000,"79,94",22278483570000.0,79.94,22278483570000.0,79.94,18721414770000.0,79.94
Các cổ đông khác,Cổ đông > Các cổ đông khác,Các cổ đông khác,5.589.727.390.000,"20,06",5.589.727.390.000,"20,06",4.697.301.230.000,"20,06",5589727390000.0,20.06,5589727390000.0,20.06,4697301230000.0,20.06
,,,27.868.210.960.000,100,27.868.210.960.000,100,23.418.716.000.000,100,27868210960000.0,100.0,27868210960000.0,100.0,23418716000000.0,100.0
