row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,18.101.690.974,53.428.226.605,84.079.095.113,48.752.559.482,18101690974.0,53428226605.0,84079095113.0,48752559482.0
Thuế khác,a. Các khoản phải thu > Thuế khác,Thuế khác,54,54,26.551.226,26.551.226,54.0,54.0,26551226.0,26551226.0
,,,18.101.691.028,53.428.226.659,84.105.646.339,48.779.110.708,18101691028.0,53428226659.0,84105646339.0,48779110708.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,13.954.198.753,382.045.660.043,377.184.927.071,18.814.931.725,13954198753.0,382045660043.0,377184927071.0,18814931725.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,9.300.888.950,9.300.888.950,-,,9300888950.0,9300888950.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,28.002.938.208,180.193.753.301,120.504.445.891,87.692.245.618,28002938208.0,180193753301.0,120504445891.0,87692245618.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.690.474.082,101.373.009.389,104.392.752.881,9.670.730.590,12690474082.0,101373009389.0,104392752881.0,9670730590.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,9.753.658.074,245.624.756.799,239.799.132.844,15.579.282.029,9753658074.0,245624756799.0,239799132844.0,15579282029.0
"Các khoản thuế, phí khác","b. Các khoản phải trả > Các khoản thuế, phí khác","Các khoản thuế, phí khác",11.893.763.006,326.762.568.883,323.261.249.824,15.395.082.065,11893763006.0,326762568883.0,323261249824.0,15395082065.0
,,,76.295.032.123,1.245.300.637.365,1.174.443.397.461,147.152.272.027,76295032123.0,1245300637365.0,1174443397461.0,147152272027.0
