row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,21.000.000.000,31.0,,21000000000.0
2. Tiền thu từ đi vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,30.148.781.763.155,15.799.893.040.032,33.0,30148781763155.0,15799893040032.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(24.094.436.617.231),(5.934.383.983.944),34.0,-24094436617231.0,-5934383983944.0
"4. Cổ tức, lợi nhuận đã trả cho chú sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chú sở hữu","4. Cổ tức, lợi nhuận đã trả cho chú sở hữu",36,(229.546.571.458),(132.353.448.916),36.0,-229546571458.0,-132353448916.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,5.824.798.574.466,9.754.155.607.172,40.0,5824798574466.0,9754155607172.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(4.820.011.608.957),3.124.589.714.649,50.0,-4820011608957.0,3124589714649.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,11.564.348.565.017,8.439.697.613.959,60.0,11564348565017.0,8439697613959.0
Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,61,(6.396.605.304),61.236.409,61.0,-6396605304.0,61236409.0
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,6.737.940.350.756,11.564.348.565.017,70.0,6737940350756.0,11564348565017.0
