row_label_raw,row_label_full,col_0,Phương tiện vận tảiTriệu đồng,numeric__Phương tiện vận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,134.573,134573.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.293,19293.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,9.346,9346.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(4.299),-4299.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,158.913,158913.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,33.877,33877.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.342,24342.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(3.642),-3642.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,54.577,54577.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,100.696,100696.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,104.336,104336.0
