row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,44.788,356.378,174.388,575.554,44788.0,356378.0,174388.0,575554.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,5.820,5.820,,,5820.0,5820.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,160.799,-,2.266,163.065,160799.0,,2266.0,163065.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,205.587,356.378,182.474,744.439,205587.0,356378.0,182474.0,744439.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.608,-,147.322,151.930,4608.0,,147322.0,151930.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,5.945,-,4.972,10.917,5945.0,,4972.0,10917.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.553,-,152.294,162.847,10553.0,,152294.0,162847.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,40.180,356.378,27.066,423.624,40180.0,356378.0,27066.0,423624.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,195.034,356.378,30.180,581.592,195034.0,356378.0,30180.0,581592.0
