row_label_raw,row_label_full,col_0,Miền Bắc Triệu đồng,Miền Trung Triệu đồng,Miền Nam Triệu đồng,Tổng bộ phận đã báo cáo Triệu đồng,Loại trừ Triệu đồng,Tổng cộng Triệu đồng,numeric__Miền Bắc Triệu đồng,numeric__Miền Trung Triệu đồng,numeric__Miền Nam Triệu đồng,numeric__Tổng bộ phận đã báo cáo Triệu đồng,numeric__Loại trừ Triệu đồng,numeric__Tổng cộng Triệu đồng
Doanh thu,Doanh thu,Doanh thu,4.161.300,4.797.570,42.332.582,51.291.452,(29.969.307),21.322.145,4161300.0,4797570.0,42332582.0,51291452.0,-29969307.0,21322145.0
Doanh thu lãi,Doanh thu lãi,Doanh thu lãi,4.120.972,4.647.114,40.539.561,49.307.647,(29.969.307),19.338.340,4120972.0,4647114.0,40539561.0,49307647.0,-29969307.0,19338340.0
Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,27.638,72.637,1.041.225,1.141.500,-,1.141.500,27638.0,72637.0,1041225.0,1141500.0,,1141500.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,12.690,77.819,751.796,842.305,-,842.305,12690.0,77819.0,751796.0,842305.0,,842305.0
Chi phí,Chi phí,Chi phí,(3.570.619),(3.888.775),(39.680.302),(47.139.696),29.969.307,(17.170.389),-3570619.0,-3888775.0,-39680302.0,-47139696.0,29969307.0,-17170389.0
Chi phí lãi,Chi phí lãi,Chi phí lãi,(3.235.069),(3.441.354),(35.983.915),(42.660.338),29.969.307,(12.691.031),-3235069.0,-3441354.0,-35983915.0,-42660338.0,29969307.0,-12691031.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,(11.005),(16.989),(117.808),(145.802),-,(145.802),-11005.0,-16989.0,-117808.0,-145802.0,,-145802.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(324.545),(430.432),(3.578.579),(4.333.556),-,(4.333.556),-324545.0,-430432.0,-3578579.0,-4333556.0,,-4333556.0
Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,Kết quả kinh doanh trước,,,,,,
chi phí dự phòng rủi ro,Kết quả kinh doanh trước > chi phí dự phòng rủi ro,chi phí dự phòng rủi ro,590.681,908.795,2.652.280,4.151.756,-,4.151.756,590681.0,908795.0,2652280.0,4151756.0,,4151756.0
Chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(29.862),(52.942),(765.000),(847.804),-,(847.804),-29862.0,-52942.0,-765000.0,-847804.0,,-847804.0
Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước > Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,560.819,855.853,1.887.280,3.303.952,-,3.303.952,560819.0,855853.0,1887280.0,3303952.0,,3303952.0
