row_label_raw,row_label_full,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 6thángTriệu đồng,numeric__Từ 6 - 12thángTriệu đồng,numeric__Từ 1 - 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
-,-,-,1.132.969,-,-,-,-,-,-,1.132.969,1132969.0,,,,,,,1132969.0
-,-,-,16.268.047,-,-,-,-,-,-,16.268.047,16268047.0,,,,,,,16268047.0
-,-,-,289.885,19.923.417,1.478.000,900.000,-,-,-,22.591.302,289885.0,19923417.0,1478000.0,900000.0,,,,22591302.0
-,-,-,39.455,-,-,-,-,-,-,39.455,39455.0,,,,,,,39455.0
8.384.787,8.384.787,8.384.787,-,42.439.546,73.879.801,7.734.533,5.592.445,3.311.920,95.409,141.438.441,,42439546.0,73879801.0,7734533.0,5592445.0,3311920.0,95409.0,141438441.0
-,-,-,144.141,4.838.352,1.210.790,4.252.354,13.641.985,-,-,24.087.622,144141.0,4838352.0,1210790.0,4252354.0,13641985.0,,,24087622.0
-,-,-,85.320,-,-,-,-,-,-,85.320,85320.0,,,,,,,85320.0
-,-,-,1.586.997,-,-,-,-,-,-,1.586.997,1586997.0,,,,,,,1586997.0
-,-,-,15.971,-,-,-,-,-,-,15.971,15971.0,,,,,,,15971.0
-,-,-,4.245.783,-,-,-,-,-,-,4.245.783,4245783.0,,,,,,,4245783.0
8.384.787,8.384.787,8.384.787,23.808.568,67.201.315,76.568.591,12.886.887,19.234.430,3.311.920,95.409,211.491.907,23808568.0,67201315.0,76568591.0,12886887.0,19234430.0,3311920.0,95409.0,211491907.0
-,-,-,-,345,-,-,-,-,-,345,,345.0,,,,,,345.0
-,-,-,-,21.365.140,1.494.526,262.007,440.201,459.800,-,24.021.674,,21365140.0,1494526.0,262007.0,440201.0,459800.0,,24021674.0
-,-,-,-,45.625.514,42.073.925,37.479.178,15.253.371,4.995.532,1.425,145.428.945,,45625514.0,42073925.0,37479178.0,15253371.0,4995532.0,1425.0,145428945.0
-,-,-,-,243.665,72.600,750.200,-,-,-,1.066.465,,243665.0,72600.0,750200.0,,,,1066465.0
-,-,-,-,483.607,3.479.881,4.013.570,10.261.840,19.970,200.000,18.458.868,,483607.0,3479881.0,4013570.0,10261840.0,19970.0,200000.0,18458868.0
-,-,-,5.678.150,-,-,-,-,-,-,5.678.150,5678150.0,,,,,,,5678150.0
-,-,-,5.678.150,67.718.271,47.120.932,42.504.955,25.955.412,5.475.302,201.425,194.654.447,5678150.0,67718271.0,47120932.0,42504955.0,25955412.0,5475302.0,201425.0,194654447.0
8.384.787,8.384.787,8.384.787,18.130.418,(516.956),29.447.659,(29.618.068),(6.720.982),(2.163.382),(106.016),16.837.460,18130418.0,-516956.0,29447659.0,-29618068.0,-6720982.0,-2163382.0,-106016.0,16837460.0
