row_label_raw,row_label_full,col_0,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Trên 3thángTriệu đồng,numeric__Đến 3thángTriệu đồng,numeric__Đến 1thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 12thángTriệu đồng,numeric__Từ 1 - 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.132.969,-,-,-,-,1.132.969,,,1132969.0,,,,,1132969.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,16.268.047,-,-,-,-,16.268.047,,,16268047.0,,,,,16268047.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,19.923.417,1.478.000,1.030.644,159.241,-,22.591.302,,,19923417.0,1478000.0,1030644.0,159241.0,,22591302.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.942.438,5.442.349,4.242.592,11.867.325,59.346.122,20.900.274,36.697.341,141.438.441,2942438.0,5442349.0,4242592.0,11867325.0,59346122.0,20900274.0,36697341.0,141438441.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,144.141,852.322,5.180.252,4.396.231,13.514.676,24.087.622,,,144141.0,852322.0,5180252.0,4396231.0,13514676.0,24087622.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,8.859,4.726,25.870,-,-,39.455,,,8859.0,4726.0,25870.0,,,39455.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,85.320,85.320,,,,,,,85320.0,85320.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,357.079,205,5.402,250.569,973.742,1.586.997,,,357079.0,205.0,5402.0,250569.0,973742.0,1586997.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,15.971,15.971,,,,,,,15971.0,15971.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,-,1.742.328,859.674,822.128,672.848,148.805,4.245.783,,,1742328.0,859674.0,822128.0,672848.0,148805.0,4245783.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.942.438,5.442.349,43.819.432,15.062.252,66.410.418,26.379.163,51.435.855,211.491.907,2942438.0,5442349.0,43819432.0,15062252.0,66410418.0,26379163.0,51435855.0,211491907.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,-,-,345,-,-,345,,,,,345.0,,,345.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,21.339.279,1.478.031,680.686,523.678,-,24.021.674,,,21339279.0,1478031.0,680686.0,523678.0,,24021674.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,45.625.513,42.073.925,52.732.550,4.995.532,1.425,145.428.945,,,45625513.0,42073925.0,52732550.0,4995532.0,1425.0,145428945.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,137,1.066.328,-,1.066.465,,,,,137.0,1066328.0,,1066465.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,173.917,2.751.481,4.301.000,5.144.200,6.088.270,18.458.868,,,173917.0,2751481.0,4301000.0,5144200.0,6088270.0,18458868.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.065.960,2.073.930,1.432.171,105.457,632,5.678.150,,,2065960.0,2073930.0,1432171.0,105457.0,632.0,5678150.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,69.204.669,48.377.367,59.146.889,11.835.195,6.090.327,194.654.447,,,69204669.0,48377367.0,59146889.0,11835195.0,6090327.0,194654447.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.942.438,5.442.349,(25.385.237),(33.315.115),7.263.529,14.543.968,45.345.528,16.837.460,2942438.0,5442349.0,-25385237.0,-33315115.0,7263529.0,14543968.0,45345528.0,16837460.0
