row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,numeric__Thuyết minh,numeric__Số cuối năm Triệu đồng,numeric__Số đầu năm Triệu đồng
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,37,14.694.595,17.916.749,37.0,14694595.0,17916749.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,,12.105.195,17.916.749,,12105195.0,17916749.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,2.420.000,-,,2420000.0,
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,169.400,-,,169400.0,
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,37,6.114.363,7.953.409,37.0,6114363.0,7953409.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,37,9.847.973,885.819,37.0,9847973.0,885819.0
Lãi cho vay và chi phí chưa thu được,Lãi cho vay và chi phí chưa thu được,Lãi cho vay và chi phí chưa thu được,38,2.019.149,1.264.852,38.0,2019149.0,1264852.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,39,2.674.247,1.709.121,39.0,2674247.0,1709121.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,40,11.470.531,12.487.272,40.0,11470531.0,12487272.0
,,,,46.820.858,42.217.222,,46820858.0,42217222.0
