row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2023,Năm nayTriệu đồng > Ngày 1 tháng 1 năm 2023,Năm trướcTriệu đồng > Ngày 1 tháng 1 năm 2023,numeric__Năm nayTriệu đồng > Ngày 1 tháng 1 năm 2023,numeric__Năm trướcTriệu đồng > Ngày 1 tháng 1 năm 2023
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,49.625,29.037,49625.0,29037.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,1.500,,1500.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,637.815,275.439,637815.0,275439.0
,,,687.440,305.976,687440.0,305976.0
Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,,
Trái phiếu đặc biệt do VAMC phát hành,Sử dụng dự phòng > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,(162.065),-,-162065.0,
,,,(162.065),-,-162065.0,
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,(30.780),20.588,-30780.0,20588.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,(1.500),,-1500.0
Trái phiếu đặc biệt do VAMC phát hành,Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,(475.750),362.376,-475750.0,362376.0
,,,(506.530),381.464,-506530.0,381464.0
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,
Chứng khoán đầu tư sẵn sàng để bán,Ngày 31 tháng 12 năm 2023 > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,18.845,49.625,18845.0,49625.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,-,-,,
Trái phiếu đặc biệt do VAMC phát hành,Chứng khoán đầu tư giữ đến ngày đáo hạn > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,637.815,,637815.0
,,,18.845,687.440,18845.0,687440.0
