row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,Giá trị ghi sổ kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,Giá trị ghi sổ kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,numeric__Giá trị ghi sổ kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,numeric__Giá trị ghi sổ kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,11.907,57,-,11907.0,57.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,5.752.651,39.398,-,5752651.0,39398.0,
,,,5.764.558,39.455,-,5764558.0,39455.0,
Số thuần,Số thuần,Số thuần,,39.455,,,39455.0,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.278.959,28.566,-,3278959.0,28566.0,
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,8.958.149,76.383,-,8958149.0,76383.0,
,,,12.237.108,104.949,-,12237108.0,104949.0,
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022 > Số thuần,Số thuần,,104.949,,,104949.0,
