row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023Đồng,Ngày 31 tháng 12năm 2022Đồng,numeric__Ngày 31 tháng 12năm 2023Đồng,numeric__Ngày 31 tháng 12năm 2022Đồng
USD,USD,USD,"24.200,00","23.700,00",24200.0,23700.0
EUR,EUR,EUR,"26.780,00","25.234,50",26780.0,25234.5
GBP,GBP,GBP,"30.890,00","28.519,50",30890.0,28519.5
CAD,CAD,CAD,"18.315,50","17.397,00",18315.5,17397.0
SGD,SGD,SGD,"18.387,50","17.592,00",18387.5,17592.0
AUD,AUD,AUD,"16.526,00","16.097,50",16526.0,16097.5
CHF,CHF,CHF,"28.827,00","25.497,00",28827.0,25497.0
JPY,JPY,JPY,"172,01","179,79",172.01,179.79
HKD,HKD,HKD,"3.110,00","3.021,50",3110.0,3021.5
KRW,KRW,KRW,"18,74","18,68",18.74,18.68
Vàng SJC (chỉ),Vàng SJC (chỉ),Vàng SJC (chỉ),7.100.000,6.640.000,7100000.0,6640000.0
