row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,499.520,319.953,499520.0,319953.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,496.895,310.599,496895.0,310599.0
Thu nhập thuần từ thanh lý tài sản cố định,Thu nhập thuần từ thanh lý tài sản cố định,Thu nhập thuần từ thanh lý tài sản cố định,1.158,1.549,1158.0,1549.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.467,7.805,1467.0,7805.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(166.581),(17.431),-166581.0,-17431.0
Chi phí chấm dứt hợp đồng,Chi phí chấm dứt hợp đồng,Chi phí chấm dứt hợp đồng,(89.000),-,-89000.0,
Chi phí chấm nộp thuế giá trị gia tăng,Chi phí chấm nộp thuế giá trị gia tăng,Chi phí chấm nộp thuế giá trị gia tăng,(64.701),-,-64701.0,
Chi công tác xã hội,Chi công tác xã hội,Chi công tác xã hội,(9.068),(13.896),-9068.0,-13896.0
Chi phí khác,Chi phí khác,Chi phí khác,(3.812),(3.535),-3812.0,-3535.0
,,,332.939,302.522,332939.0,302522.0
