row_label_raw,row_label_full,col_0,Giá gốc,Giá trị có thể thu hồi,Giá gốc_1,Giá trị có thể thu hồi_1,numeric__Giá gốc,numeric__Giá trị có thể thu hồi,numeric__Giá gốc_1,numeric__Giá trị có thể thu hồi_1
,,,VND,VND,VND,VND,,,,
Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,114.593.502.460,-,-,-,114593502460.0,,,
Công ty CP Viglacera Đông Triều,Công ty CP Viglacera Đông Triều,Công ty CP Viglacera Đông Triều,11.134.253.604,-,-,-,11134253604.0,,,
Công ty CP Cơ khí và Xây dựng Viglacera,Công ty CP Cơ khí và Xây dựng Viglacera,Công ty CP Cơ khí và Xây dựng Viglacera,9.245.889.258,-,-,-,9245889258.0,,,
Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,6.710.110.911,598.753.412,-,-,6710110911.0,598753412.0,,
Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,4.873.202.708,-,-,-,4873202708.0,,,
Công ty CP Gốm Xây dựng Bìm Sơn,Công ty CP Gốm Xây dựng Bìm Sơn,Công ty CP Gốm Xây dựng Bìm Sơn,1.502.903.936,-,1.502.903.936,-,1502903936.0,,1502903936.0,
Công ty Thương mại Huy Hùng,Công ty Thương mại Huy Hùng,Công ty Thương mại Huy Hùng,1.415.260.168,-,1.415.260.168,-,1415260168.0,,1415260168.0,
Công ty CP Viglacera Hợp,Công ty CP Viglacera Hợp,Công ty CP Viglacera Hợp,1.254.681.362,-,258.451.778,-,1254681362.0,,258451778.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,13.796.351.262,3.551.468.775,5.909.077.537,329.454.698,13796351262.0,3551468775.0,5909077537.0,329454698.0
,,,164.526.155.669,4.150.222.187,9.085.693.419,329.454.698,164526155669.0,4150222187.0,9085693419.0,329454698.0
