row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2017,01/01/2017(Đã điều chỉnh),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2017,numeric__01/01/2017(Đã điều chỉnh)
,,,,,VND,VND,,,,
400,400,400,D. VỐN CHỦ SỞ HỮU,,6.026.806.640.492,3.832.153.134.908,,,6026806640492.0,3832153134908.0
410,410,410,I. Vốn chủ sở hữu,25,5.966.711.864.509,3.775.470.275.409,,25.0,5966711864509.0,3775470275409.0
411,411,411,1. Vốn góp của chủ sở hữu,,4.483.500.000.000,3.070.000.000.000,,,4483500000000.0,3070000000000.0
411a,411a,411a,Cổ phiếu phố thông có quyền biểu quyết,,4.483.500.000.000,3.070.000.000.000,,,4483500000000.0,3070000000000.0
412,412,412,2. Thặng dư vốn cổ phần,,931.224.071.162,138.397.197.162,,,931224071162.0,138397197162.0
418,418,418,3. Quỹ đầu tư phát triển,,80.423.078.247,-,,,80423078247.0,
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,471.564.715.100,521.073.078.247,,,471564715100.0,521073078247.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối năm trước,,-,158.039.073.771,,,,158039073771.0
421b,421b,421b,LNST chưa phân phối năm nay,,471.564.715.100,363.034.004.476,,,471564715100.0,363034004476.0
422,422,422,5. Nguồn vốn đầu tư xây dựng cơ bản,,-,46.000.000.000,,,,46000000000.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,60.094.775.983,56.682.859.499,,,60094775983.0,56682859499.0
431,431,431,1. Nguồn kinh phí,26,11.611.000.000,5.282.400.000,,26.0,11611000000.0,5282400000.0
432,432,432,2. Nguồn kinh phí đã hình thành TSCĐ,,48.483.775.983,51.400.459.499,,,48483775983.0,51400459499.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,12.394.680.681.348,10.041.634.212.344,,,12394680681348.0,10041634212344.0
