row_label_raw,row_label_full,col_0,Nhà vàquyền sử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà vàquyền sử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.170.553.647.168,1.335.737.718.285,2.506.291.365.453,1170553647168.0,1335737718285.0,2506291365453.0
- Tăng từ đầu tư xây dựng cơ bản,Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản,- Tăng từ đầu tư xây dựng cơ bản,103.539.567.757,757.969.736.939,861.509.304.696,103539567757.0,757969736939.0,861509304696.0
- Giảm do điều chỉnh theo quyết toán,Nguyên giá > - Giảm do điều chỉnh theo quyết toán,- Giảm do điều chỉnh theo quyết toán,(25.385.985.453),(179.163.477),(25.565.148.930),-25385985453.0,-179163477.0,-25565148930.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.248.707.229.472,2.093.528.291.747,3.342.235.521.219,1248707229472.0,2093528291747.0,3342235521219.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,186.343.135.368,232.323.572.410,418.666.707.778,186343135368.0,232323572410.0,418666707778.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,45.379.615.446,40.641.745.601,86.021.361.047,45379615446.0,40641745601.0,86021361047.0
- Giảm do điều chỉnh theo quyết toán,Giá trị hao mòn luỹ kế > - Giảm do điều chỉnh theo quyết toán,- Giảm do điều chỉnh theo quyết toán,(5.250.271.014),-,(5.250.271.014),-5250271014.0,,-5250271014.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,226.472.479.800,272.965.318.011,499.437.797.811,226472479800.0,272965318011.0,499437797811.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,984.210.511.800,1.103.414.145.875,2.087.624.657.675,984210511800.0,1103414145875.0,2087624657675.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.022.234.749.672,1.820.562.973.736,2.842.797.723.408,1022234749672.0,1820562973736.0,2842797723408.0
