row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính
Công ty Đầu tư Phát triển Hạ tầng Viglacera,Công ty Đầu tư Phát triển Hạ tầng Viglacera,Công ty Đầu tư Phát triển Hạ tầng Viglacera,Hà Nội,Xây dựng và kinh doanh bất động sản,,
Công ty Sử Viglacera Bình Dương,Công ty Sử Viglacera Bình Dương,Công ty Sử Viglacera Bình Dương,Bình Dương,"Sản xuất, kinh doanh sứ vệ sinh và phụ kiện",,
Công ty Kính nổi Viglacera,Công ty Kính nổi Viglacera,Công ty Kính nổi Viglacera,Bình Dương,Sản xuất và kinh doanh kính nổi,,
Công ty Đầu tư Hạ tầng và Đô thị Viglacera,Công ty Đầu tư Hạ tầng và Đô thị Viglacera,Công ty Đầu tư Hạ tầng và Đô thị Viglacera,Hà Nội,Xây dựng và kinh doanh bất động sản,,
Công ty Kinh doanh Bắt động sản Viglacera,Công ty Kinh doanh Bắt động sản Viglacera,Công ty Kinh doanh Bắt động sản Viglacera,Bắc Ninh,Kinh doanh bất động sản,,
Công ty Thi công Cơ giới Viglacera,Công ty Thi công Cơ giới Viglacera,Công ty Thi công Cơ giới Viglacera,Bắc Ninh,"Đầu tư, xây dựng các công trình, dự án bất động sản",,
Công ty Xây dựng Viglacera,Công ty Xây dựng Viglacera,Công ty Xây dựng Viglacera,Bắc Ninh,Xây dựng và kinh doanh bất động sản,,
Công ty Sen vòi Viglacera,Công ty Sen vòi Viglacera,Công ty Sen vòi Viglacera,Hà Nội,Sản xuất và kinh doanh thiết bị vệ sinh,,
Viện nghiên cứu và phát triển Viglacera,Viện nghiên cứu và phát triển Viglacera,Viện nghiên cứu và phát triển Viglacera,Hà Nội,Nghiên cứu và phát triển Công nghệ,,
Trường Cao đẳng nghề Viglacera,Trường Cao đẳng nghề Viglacera,Trường Cao đẳng nghề Viglacera,Bắc Ninh,Đào tạo nghề,,
Ban quản lý dự án Đầu tư dây chuyển Sản xuất Kính tiết kiệm năng lượng,Ban quản lý dự án Đầu tư dây chuyển Sản xuất Kính tiết kiệm năng lượng,Ban quản lý dự án Đầu tư dây chuyển Sản xuất Kính tiết kiệm năng lượng,Bình Dương,Đầu tư xây dựng dây chuyển Sản xuất Kính tiết kiệm năng lượng,,
