row_label_raw,row_label_full,col_0,Mã số,Phân loại lại,Đã trình bày trên báo cáo kỳ trước,numeric__Mã số,numeric__Phân loại lại,numeric__Đã trình bày trên báo cáo kỳ trước
,,,,VND,VND,,,
Bảng Cân đối kế toán,Bảng Cân đối kế toán,Bảng Cân đối kế toán,Bảng Cân đối kế toán,Bảng Cân đối kế toán,Bảng Cân đối kế toán,,,
- Hàng tồn kho,Bảng Cân đối kế toán > - Hàng tồn kho,- Hàng tồn kho,141,1.892.437.032.947,1.864.231.648.098,141.0,1892437032947.0,1864231648098.0
- Chi phí xây dựng cơ bản dở dang,Bảng Cân đối kế toán > - Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,242,1.453.552.861.891,1.378.618.960.406,242.0,1453552861891.0,1378618960406.0
- Chi phí phải trả ngắn hạn,Bảng Cân đối kế toán > - Chi phí phải trả ngắn hạn,- Chi phí phải trả ngắn hạn,315,626.524.295.410,629.814.694.282,315.0,626524295410.0,629814694282.0
- Chi phí phải trả dài hạn,Bảng Cân đối kế toán > - Chi phí phải trả dài hạn,- Chi phí phải trả dài hạn,333,106.429.685.206,-,333.0,106429685206.0,
