row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,13.346.602.364,13.346.602.364,13346602364.0,13346602364.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,2.634.674.546,2.634.674.546,2634674546.0,2634674546.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(2.407.452.727),(2.407.452.727),-2407452727.0,-2407452727.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.573.824.183,13.573.824.183,13573824183.0,13573824183.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,2.510.363.554,2.510.363.554,2510363554.0,2510363554.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.035.841.731,2.035.841.731,2035841731.0,2035841731.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(1.293.911.686),(1.293.911.686),-1293911686.0,-1293911686.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,3.252.293.599,3.252.293.599,3252293599.0,3252293599.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,10.836.238.810,10.836.238.810,10836238810.0,10836238810.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,10.321.530.584,10.321.530.584,10321530584.0,10321530584.0
