row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.942.153.426.411,-,-,1.942.153.426.411,1942153426411.0,,,1942153426411.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2017 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",836.958.690.629,8.090.706.237,177.169.969.545,1.022.219.366.411,836958690629.0,8090706237.0,177169969545.0,1022219366411.0
Các khoản cho vay,Tại ngày 31/12/2017 > Các khoản cho vay,Các khoản cho vay,245.421.795.876,-,-,245.421.795.876,245421795876.0,,,245421795876.0
Cộng,Tại ngày 31/12/2017 > Cộng,Cộng,3.024.533.912.916,8.090.706.237,177.169.969.545,3.209.794.588.698,3024533912916.0,8090706237.0,177169969545.0,3209794588698.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,757.110.607.148,-,-,757.110.607.148,757110607148.0,,,757110607148.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2017 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.036.063.627.448,4.423.616.190,198.763.377.508,1.239.250.621.146,1036063627448.0,4423616190.0,198763377508.0,1239250621146.0
Các khoản cho vay,Tại ngày 01/01/2017 > Các khoản cho vay,Các khoản cho vay,15.332.200.216,-,-,15.332.200.216,15332200216.0,,,15332200216.0
Cộng,Tại ngày 01/01/2017 > Cộng,Cộng,1.808.506.434.812,4.423.616.190,198.763.377.508,2.011.693.428.510,1808506434812.0,4423616190.0,198763377508.0,2011693428510.0
