row_label_raw,row_label_full,col_0,Kinh doanhBắt động sản vàxây dựng,"Sản xuất vàkinh doanh Kính,Sứ, Sen vòi",Thương mại vàdịch vụ khác,Tổng cộng cácbộ phận,Loại trừ,Tổng cộng toànDoanh nghiệp,numeric__Kinh doanhBắt động sản vàxây dựng,"numeric__Sản xuất vàkinh doanh Kính,Sứ, Sen vòi",numeric__Thương mại vàdịch vụ khác,numeric__Tổng cộng cácbộ phận,numeric__Loại trừ,numeric__Tổng cộng toànDoanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng vàdịch vụ,Doanh thu thuần từ bán hàng vàdịch vụ,Doanh thu thuần từ bán hàng vàdịch vụ,2.279.938.461.325,1.638.132.397.469,54.907.002.888,3.972.977.861.683,-,3.972.977.861.683,2279938461325.0,1638132397469.0,54907002888.0,3972977861683.0,,3972977861683.0
Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,1.779.214.795.721,1.174.113.830.750,48.984.216.705,3.002.312.843.176,-,3.002.312.843.176,1779214795721.0,1174113830750.0,48984216705.0,3002312843176.0,,3002312843176.0
Lợi nhuận từ hoạt động kinh doanl,Lợi nhuận từ hoạt động kinh doanl,Lợi nhuận từ hoạt động kinh doanl,500.723.665.604,464.018.566.719,5.922.786.184,970.665.018.507,-,970.665.018.507,500723665604.0,464018566719.0,5922786184.0,970665018507.0,,970665018507.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,1.125.483.316.545,203.216.283.671,395.601.000,1.329.095.201.216,-,1.329.095.201.216,1125483316545.0,203216283671.0,395601000.0,1329095201216.0,,1329095201216.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,12.543.227.351.365,1.432.716.491.780,13.470.300.621,13.989.414.143.766,(2.721.271.458.662),11.268.142.685.104,12543227351365.0,1432716491780.0,13470300621.0,13989414143766.0,-2721271458662.0,11268142685104.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,1.126.537.996.244,,,,,,1126537996244.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,12.543.227.351.365,1.432.716.491.780,13.470.300.621,13.989.414.143.766,(2.721.271.458.662),12.394.680.681.348,12543227351365.0,1432716491780.0,13470300621.0,13989414143766.0,-2721271458662.0,12394680681348.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,7.762.757.378.737,1.299.945.314.300,11.806.880.457,9.074.509.573.494,(2.706.635.532.638),6.367.874.040.856,7762757378737.0,1299945314300.0,11806880457.0,9074509573494.0,-2706635532638.0,6367874040856.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,7.762.757.378.737,1.299.945.314.300,11.806.880.457,9.074.509.573.494,(2.706.635.532.638),6.367.874.040.856,7762757378737.0,1299945314300.0,11806880457.0,9074509573494.0,-2706635532638.0,6367874040856.0
Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,,,,,,
,,,Hà Nội,Bắc Ninh,Bình Dương và BàRịa - Vũng Tàu,Tổng cộng cácbộ phận,Loại trừ,Tổng cộng toànDoanh nghiệp,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bênngoài,Theo khu vực địa lý > Doanh thu thuần từ bán hàng ra bênngoài,Doanh thu thuần từ bán hàng ra bênngoài,2.002.107.947.143,1.800.902.321.228,1.523.422.053.746,5.326.432.322.117,(1.353.454.460.434),3.972.977.861.683,2002107947143.0,1800902321228.0,1523422053746.0,5326432322117.0,-1353454460434.0,3972977861683.0
Tài sản bộ phận,Theo khu vực địa lý > Tài sản bộ phận,Tài sản bộ phận,10.885.377.725.230,2.896.569.676.066,1.334.004.738.714,15.115.952.140.010,(2.721.271.458.662),12.394.680.681.348,10885377725230.0,2896569676066.0,1334004738714.0,15115952140010.0,-2721271458662.0,12394680681348.0
