row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Năm đáo hạn,Hình thức đảm bảo,31/12/2017 > VND,01/01/2017 > VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__Hình thức đảm bảo,numeric__31/12/2017 > VND,numeric__01/01/2017 > VND
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,404.145.975.006,768.357.234.093,,,,,404145975006.0,768357234093.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Theo thời điểm nhận nợ,120 tháng,Thế chấp bằng tài sản,-,15.278.131.790,,,,,,15278131790.0
- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,VND,Theo thời điểm nhận nợ,Từ 36 tháng đến 84 tháng,Thế chấp bằng tài sản,128.349.785.796,392.497.671.789,,,,,128349785796.0,392497671789.0
- Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,VND,"8,55%",Từ 90 tháng đến 135 tháng,Thế chấp bằng tài sản,232.300.533.598,226.753.237.124,,0.0855,,,232300533598.0,226753237124.0
- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Điều chỉnh theo thời kỳ,2021,Thế chấp bằng tài sản,33.875.655.612,38.189.935.276,,,2021.0,,33875655612.0,38189935276.0
- Các đối tượng thuộc Viện nghiên cứu máy,- Các đối tượng thuộc Viện nghiên cứu máy,- Các đối tượng thuộc Viện nghiên cứu máy,VND,Không tính lãi,Không xác định,Tín chấp,760.000.000,760.000.000,,,,,760000000.0,760000000.0
- Ngân hàng TMCP Ngoại thương Việt,- Ngân hàng TMCP Ngoại thương Việt,- Ngân hàng TMCP Ngoại thương Việt,VND,Theo từng thời kỳ,Năm 2017,Thế chấp bằng tài sản,-,83.278.258.114,,,,,,83278258114.0
- Quỹ Bảo vệ Môi trường,- Quỹ Bảo vệ Môi trường,- Quỹ Bảo vệ Môi trường,VND,"Từ 3,6% đến 5,4%",84 tháng,Chứng tư bảo lãnh,8.860.000.000,11.600.000.000,,,,,8860000000.0,11600000000.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,4.253.444.839,5.675.440.964,,,,,4253444839.0,5675440964.0
- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,VND,"11,5%",2018,Thế chấp bằng tài sản,2.522.209.409,3.469.235.209,,0.115,2018.0,,2522209409.0,3469235209.0
- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt,VND,Theo từng thời kỳ,Từ 36 tháng đến 60 tháng,Thế chấp bằng tài sản,1.731.235.430,2.206.205.755,,,,,1731235430.0,2206205755.0
,,,,,,,408.399.419.845(92.229.778.882),774.032.675.057(192.527.603.970),,,,,,
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,316.169.640.963,581.505.071.087,,,,,316169640963.0,581505071087.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,,,,,,,,
