row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.645.000.000.000,18.687.162,-,270.155.118.593,67.000.000.000,2.982.173.805.755,2645000000000.0,18687162.0,,270155118593.0,67000000000.0,2982173805755.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,425.000.000.000,138.378.510.000,-,,,563.378.510.000,425000000000.0,138378510000.0,,,,563378510000.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,-,363.034.004.476,-,363.034.004.476,,,,363034004476.0,,363034004476.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,(105.800.000.000),-,(105.800.000.000),,,,-105800000000.0,,-105800000000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(9.044.614.000),-,(9.044.614.000),,,,-9044614000.0,,-9044614000.0
Nhận kinh phí từ Ngân sách,Nhận kinh phí từ Ngân sách,Nhận kinh phí từ Ngân sách,-,-,-,-,31.000.000.000,31.000.000.000,,,,,31000000000.0,31000000000.0
Kết chuyển nguồn vốn đối với công trình đã hoàn thành,Kết chuyển nguồn vốn đối với công trình đã hoàn thành,Kết chuyển nguồn vốn đối với công trình đã hoàn thành,-,-,-,-,(52.000.000.000),(52.000.000.000),,,,,-52000000000.0,-52000000000.0
Điều chính theo Biên bản thanh tra Bộ Tài chính,Điều chính theo Biên bản thanh tra Bộ Tài chính,Điều chính theo Biên bản thanh tra Bộ Tài chính,-,-,-,2.728.569.178,-,2.728.569.178,,,,2728569178.0,,2728569178.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.070.000.000.000,138.397.197.162,-,521.073.078.247,46.000.000.000,3.775.470.275.409,3070000000000.0,138397197162.0,,521073078247.0,46000000000.0,3775470275409.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.070.000.000.000,138.397.197.162,-,521.073.078.247,46.000.000.000,3.775.470.275.409,3070000000000.0,138397197162.0,,521073078247.0,46000000000.0,3775470275409.0
Tăng vốn trong năm [1],Tăng vốn trong năm [1],Tăng vốn trong năm [1],1.413.500.000.000,792.826.874.000,-,-,-,2.206.326.874.000,1413500000000.0,792826874000.0,,,,2206326874000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,471.564.715.100,-,471.564.715.100,,,,471564715100.0,,471564715100.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,(405.650.000.000),-,(405.650.000.000),,,,-405650000000.0,,-405650000000.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,80.423.078.247,(80.423.078.247),-,-,,,80423078247.0,-80423078247.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(35.000.000.000),-,(35.000.000.000),,,,-35000000000.0,,-35000000000.0
Kết chuyển nguồn vốn đối với công trình đã hoàn thành [2],Kết chuyển nguồn vốn đối với công trình đã hoàn thành [2],Kết chuyển nguồn vốn đối với công trình đã hoàn thành [2],-,-,-,-,(46.000.000.000),(46.000.000.000),,,,,-46000000000.0,-46000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.224.071.162,80.423.078.247,471.564.715.100,-,5.966.711.864.509,4483500000000.0,931224071162.0,80423078247.0,471564715100.0,,5966711864509.0
