row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thựcnộp trong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thựcnộp trong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.168.399.803,6.703.399.240,147.439.026.451,142.962.396.501,706.924.449,6.718.553.836,5168399803.0,6703399240.0,147439026451.0,142962396501.0,706924449.0,6718553836.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",44.358.732,-,1.778.415.427,1.774.226.551,40.169.856,-,44358732.0,,1778415427.0,1774226551.0,40169856.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,169.923.163,28.978.215.916,95.563.845.272,99.285.910.195,76.044.418,25.162.272.248,169923163.0,28978215916.0,95563845272.0,99285910195.0,76044418.0,25162272248.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.102.291,1.607.422.863,5.550.182.125,4.772.006.858,314.973.035,2.688.468.874,12102291.0,1607422863.0,5550182125.0,4772006858.0,314973035.0,2688468874.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,104.905.906,550.180.476,1.811.926.454,1.157.474.312,634.240,,104905906.0,550180476.0,1811926454.0,1157474312.0,634240.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,65.728.374.844,44.875.703.138,103.681.227.788,-,6.922.850.194,,65728374844.0,44875703138.0,103681227788.0,,6922850194.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,211.545.453,994.473.501,18.689.211.665,4.723.489.102,194.029.271,14.942.679.882,211545453.0,994473501.0,18689211665.0,4723489102.0,194029271.0,14942679882.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",214.757.398,9.981.936.788,26.220.120.870,2.000.000,214.757.398,36.200.057.658,214757398.0,9981936788.0,26220120870.0,2000000.0,214757398.0,36200057658.0
,,,5.821.086.840,114.098.729.058,340.666.685.424,359.013.183.449,2.704.372.739,92.635.516.932,5821086840.0,114098729058.0,340666685424.0,359013183449.0,2704372739.0,92635516932.0
