row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Bắc Ninh,"30,00%","30,00%",Sản xuất và kinh doanh kính,,0.3,0.3,
Công ty CP Viglacera Từ Sơn,Công ty CP Viglacera Từ Sơn,Công ty CP Viglacera Từ Sơn,Bắc Ninh,"24,93%","24,93%",Sản xuất và kinh doanh gạch,,0.2493,0.2493,
Công ty CP Viglacera Hạ Long I,Công ty CP Viglacera Hạ Long I,Công ty CP Viglacera Hạ Long I,Quảng Ninh,"26,00%","26,00%",Sản xuất và kinh doanh gạch,,0.26,0.26,
Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",Kinh doanh xuất nhập khẩu,,0.25,0.25,
Công ty CP Vật liệu chịu lửa Viglacera Cầu Đường,Công ty CP Vật liệu chịu lửa Viglacera Cầu Đường,Công ty CP Vật liệu chịu lửa Viglacera Cầu Đường,Hà Nội,"25,00%","25,00%",Sản xuất và kinh doanh gạch chịu lửa,,0.25,0.25,
Công ty CP Visaho,Công ty CP Visaho,Công ty CP Visaho,Hà Nội,"36,00%","36,00%",Tư vấn quản lý,,0.36,0.36,
Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Hồ Chí Minh,"35,00%","35,00%",Sản xuất kính nổi siêu trắng,,0.35,0.35,
