row_label_raw,row_label_full,col_0,Mối quan hệ,Năm 2017,Năm 2016,numeric__Mối quan hệ,numeric__Năm 2017,numeric__Năm 2016
,,,Mối quan hệ,VND,VND,,,
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,,340.597.868.495,171.767.512.158,,340597868495.0,171767512158.0
Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty con,44.490.000,774.529.000,,44490000.0,774529000.0
Công ty CP Bao bì và Má phanh Viglacera,Công ty CP Bao bì và Má phanh Viglacera,Công ty CP Bao bì và Má phanh Viglacera,Công ty con,-,20.188.000,,,20188000.0
Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty con,12.000.000,-,,12000000.0,
Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty con,25.000.000,-,,25000000.0,
Công ty CP Viglaceera Đông Anh,Công ty CP Viglaceera Đông Anh,Công ty CP Viglaceera Đông Anh,Công ty con,25.000.000,-,,25000000.0,
Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty con,593.656.320,322.763.480,,593656320.0,322763480.0
Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty con,530.792.727,238.021.000,,530792727.0,238021000.0
Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty con,-,114.517.000,,,114517000.0
Công ty CP Viglacera Tiên Sơn,Công ty CP Viglacera Tiên Sơn,Công ty CP Viglacera Tiên Sơn,Công ty con,5.530.221.634,2.280.801.097,,5530221634.0,2280801097.0
Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Công ty con,315.927.256.185,162.709.835.739,,315927256185.0,162709835739.0
Công ty CP Viglacera Vân Hải,Công ty CP Viglacera Vân Hải,Công ty CP Viglacera Vân Hải,Công ty con,147.997.000,82.433.000,,147997000.0,82433000.0
Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Công ty con,751.927.455,208.052.818,,751927455.0,208052818.0
Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Công ty con,496.270.000,229.560.000,,496270000.0,229560000.0
Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Công ty con,4.243.172.000,2.255.908.000,,4243172000.0,2255908000.0
Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty con,638.427.418,729.876.800,,638427418.0,729876800.0
Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty con,880.963.855,506.153.537,,880963855.0,506153537.0
Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty con,174.481.637,-,,174481637.0,
Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty con,6.786.182.722,-,,6786182722.0,
Công ty TNHH MTV Lắp dụng Kính Viglacera,Công ty TNHH MTV Lắp dụng Kính Viglacera,Công ty TNHH MTV Lắp dụng Kính Viglacera,Công ty con,1.252.401.432,-,,1252401432.0,
Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty liên kết,1.023.843.750,502.800.000,,1023843750.0,502800000.0
Công ty CP Viglacera Từ Sơn,Công ty CP Viglacera Từ Sơn,Công ty CP Viglacera Từ Sơn,Công ty liên kết,203.342.000,202.670.424,,203342000.0,202670424.0
Công ty CP Viglacera Hạ Long I,Công ty CP Viglacera Hạ Long I,Công ty CP Viglacera Hạ Long I,Công ty liên kết,180.123.000,100.639.000,,180123000.0,100639000.0
Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,922.960.360,414.101.263,,922960360.0,414101263.0
Công ty CP Vật liệu chịu lửa Viglacera Cầu Đường,Công ty CP Vật liệu chịu lửa Viglacera Cầu Đường,Công ty CP Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,207.359.000,74.662.000,,207359000.0,74662000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,128.460.554.905,57.886.699.047,,128460554905.0,57886699047.0
Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty con,2.682.408.960,-,,2682408960.0,
Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty con,6.507.667.058,1.334.356.279,,6507667058.0,1334356279.0
Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty con,24.971.523.763,4.068.300.160,,24971523763.0,4068300160.0
