row_label_raw,row_label_full,col_0,31/12/2017 > Giá gốc,31/12/2017 > Giá trị hợp lý,31/12/2017 > Dự phòng,01/01/2017 > Giá gốc,01/01/2017 > Giá trị hợp lý,01/01/2017 > Dự phòng,numeric__31/12/2017 > Giá gốc,numeric__31/12/2017 > Giá trị hợp lý,numeric__31/12/2017 > Dự phòng,numeric__01/01/2017 > Giá gốc,numeric__01/01/2017 > Giá trị hợp lý,numeric__01/01/2017 > Dự phòng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,615.150.455.126,,(110.437.464.536),525.862.113.226,,(136.709.366.534),615150455126.0,,-110437464536.0,525862113226.0,,-136709366534.0
- Công ty CP Viglacera Thăng Long [1],- Công ty CP Viglacera Thăng Long [1],- Công ty CP Viglacera Thăng Long [1],21.420.000.000,,-,21.420.000.000,,(539.891.795),21420000000.0,,,21420000000.0,,-539891795.0
- Công ty CP Bao bì và Má phanh Viglacera [1],- Công ty CP Bao bì và Má phanh Viglacera [1],- Công ty CP Bao bì và Má phanh Viglacera [1],6.553.719.948,,-,6.553.719.948,,-,6553719948.0,,,6553719948.0,,
- Công ty CP Viglacera Bá Hiến [1],- Công ty CP Viglacera Bá Hiến [1],- Công ty CP Viglacera Bá Hiến [1],4.349.543.500,,(4.349.543.500),4.349.543.500,,(4.349.543.500),4349543500.0,,-4349543500.0,4349543500.0,,-4349543500.0
- Công ty CP Viglacera Từ Liêm [1],- Công ty CP Viglacera Từ Liêm [1],- Công ty CP Viglacera Từ Liêm [1],22.876.640.252,,-,22.876.640.252,,(21.407.814.004),22876640252.0,,,22876640252.0,,-21407814004.0
- Công ty CP Viglacera Đông Anh [3],- Công ty CP Viglacera Đông Anh [3],- Công ty CP Viglacera Đông Anh [3],3.895.380.000,4.612.950.000,-,3.895.380.000,5.022.990.000,-,3895380000.0,4612950000.0,,3895380000.0,5022990000.0,
- Công ty CP Tư vấn Viglacera [1],- Công ty CP Tư vấn Viglacera [1],- Công ty CP Tư vấn Viglacera [1],2.823.344.712,,-,2.823.344.712,,-,2823344712.0,,,2823344712.0,,
- Công ty CP Việt Trì Viglacera [1],- Công ty CP Việt Trì Viglacera [1],- Công ty CP Việt Trì Viglacera [1],29.999.243.861,,-,11.482.163.861,,-,29999243861.0,,,11482163861.0,,
- Công ty CP Kính Viglacera Đáp Cầu [1],- Công ty CP Kính Viglacera Đáp Cầu [1],- Công ty CP Kính Viglacera Đáp Cầu [1],62.220.000.000,,(62.220.000.000),62.220.000.000,,(62.220.000.000),62220000000.0,,-62220000000.0,62220000000.0,,-62220000000.0
- Công ty CP Cơ khí và Xây dựng Viglacera [1],- Công ty CP Cơ khí và Xây dựng Viglacera [1],- Công ty CP Cơ khí và Xây dựng Viglacera [1],-,,-,3.570.000.000,,(3.570.000.000),,,,3570000000.0,,-3570000000.0
- Công ty CP Viglacera Hữu Hưng [1],- Công ty CP Viglacera Hữu Hưng [1],- Công ty CP Viglacera Hữu Hưng [1],5.246.606.312,,(3.309.013.908),5.246.606.312,,(4.053.668.797),5246606312.0,,-3309013908.0,5246606312.0,,-4053668797.0
- Công ty CP Viglacera Tiên Sơn [2],- Công ty CP Viglacera Tiên Sơn [2],- Công ty CP Viglacera Tiên Sơn [2],89.698.800.000,179.010.000.000,-,66.748.800.000,201.960.000.000,-,89698800000.0,179010000000.0,,66748800000.0,201960000000.0,
- Công ty CP Thương mại Viglacera [1],- Công ty CP Thương mại Viglacera [1],- Công ty CP Thương mại Viglacera [1],22.171.173.381,,-,22.171.173.381,,-,22171173381.0,,,22171173381.0,,
- Công ty CP Viglacera Vân Hải [1],- Công ty CP Viglacera Vân Hải [1],- Công ty CP Viglacera Vân Hải [1],13.550.721.563,,-,13.550.721.563,,-,13550721563.0,,,13550721563.0,,
- Công ty CP Khoáng sản Viglacera [1],- Công ty CP Khoáng sản Viglacera [1],- Công ty CP Khoáng sản Viglacera [1],7.447.460.436,,-,7.447.460.436,,-,7447460436.0,,,7447460436.0,,
- Công ty CP Sử Viglacera Thanh Trì [3],- Công ty CP Sử Viglacera Thanh Trì [3],- Công ty CP Sử Viglacera Thanh Trì [3],11.565.708.925,14.638.820.000,-,11.565.708.925,,-,11565708925.0,14638820000.0,,11565708925.0,,
