row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2017,01/01/2017,numeric__Mối quan hệ,numeric__31/12/2017,numeric__01/01/2017
,,,Mối quan hệ,VND,VND,,,
Công ty CP Viglacera Hạ Long II,Công ty CP Viglacera Hạ Long II,Công ty CP Viglacera Hạ Long II,Công ty liên kết,11.570.350,-,,11570350.0,
Công ty TNHH Kính Nội Siêu trắng Phú Mỹ,Công ty TNHH Kính Nội Siêu trắng Phú Mỹ,Công ty TNHH Kính Nội Siêu trắng Phú Mỹ,Công ty liên kết,1.250.000.000,-,,1250000000.0,
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty liên kết,11.134.253.614,-,,11134253614.0,
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,4.968.969.134,2.741.606.301,,4968969134.0,2741606301.0
Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty con,41.233.000,-,,41233000.0,
Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty con,45.000.000,-,,45000000.0,
Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty con,16.721.292,1.077.884.100,,16721292.0,1077884100.0
Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty con,4.806.014.842,-,,4806014842.0,
Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty con,60.000.000,-,,60000000.0,
Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,,-,1.663.722.201,,,1663722201.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,30.000.000,1.603.000.000,,30000000.0,1603000000.0
Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty con,30.000.000,-,,30000000.0,
Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,,-,1.603.000.000,,,1603000000.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,14.883.443.469,14.883.443.469,,14883443469.0,14883443469.0
Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty con,14.883.443.469,14.883.443.469,,14883443469.0,14883443469.0
Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,,34.753.460.708,28.600.737.568,,34753460708.0,28600737568.0
Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty con,9.775.035,9.775.035,,9775035.0,9775035.0
Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty con,-,19.465.604,,,19465604.0
Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty con,2.743.211.424,2.033.846.904,,2743211424.0,2033846904.0
Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty con,9.217.432.544,-,,9217432544.0,
Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty con,338.161.048,359.336.048,,338161048.0,359336048.0
Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty con,37.174.146,37.174.146,,37174146.0,37174146.0
Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Công ty con,2.400.785.290,1.321.357.941,,2400785290.0,1321357941.0
Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Công ty con,1.171.141.894,1.926.739.037,,1171141894.0,1926739037.0
Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Công ty con,1.257.285.987,1.028.171.271,,1257285987.0,1028171271.0
Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Công ty con,5.256.737.094,5.765.755.607,,5256737094.0,5765755607.0
Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty con,1.391.784.449,7.190.039.449,,1391784449.0,7190039449.0
Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty con,51.889.629,6.745.856,,51889629.0,6745856.0
Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty con,1.006.484.827,2.270.793.605,,1006484827.0,2270793605.0
Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty con,1.830.355.359,6.587.843.085,,1830355359.0,6587843085.0
Công ty TNHH MTV Thương mại Hạ Long,Công ty TNHH MTV Thương mại Hạ Long,Công ty TNHH MTV Thương mại Hạ Long,Công ty con,-,43.693.980,,,43693980.0
Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,Công ty TNHH MTV Lắp dụng Kính Viglacera Công ty con,,2.932.855.459,-,,2932855459.0,
Công ty CP Đầu tư và Xuất nhập khẩu Công ty liên kết Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Công ty liên kết Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Công ty liên kết Viglacera,,5.108.386.523,-,,5108386523.0,
