row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Hình thức đảm bảo,31/12/2017 > VND,01/01/2017 > VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Hình thức đảm bảo,numeric__31/12/2017 > VND,numeric__01/01/2017 > VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,50.405.069.232,170.937.429.546,,,,50405069232.0,170937429546.0
- Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,VND,Theo thời điểm nhận nợ,Thế chấp bằng tài sản,4.360.569.017,16.085.310.049,,,,4360569017.0,16085310049.0
- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VND,Theo thời điểm nhận nợ,Thế chấp bằng tài sản,18.523.236.679,12.409.180.444,,,,18523236679.0,12409180444.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Theo thời điểm nhận nợ,Thế chấp bằng tài sản,25.578.501.210,80.780.165.418,,,,25578501210.0,80780165418.0
- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,VND,Theo thời điểm nhận nợ,Thế chấp bằng tài sản,-,59.731.525.065,,,,,59731525065.0
- Vay cá nhân,- Vay cá nhân,- Vay cá nhân,VND,Theo từng hợp đồng,Tín chấp,1.942.762.326,1.931.248.570,,,,1942762326.0,1931248570.0
Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,92.229.778.882,192.527.603.970,,,,92229778882.0,192527603970.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Theo từng thời kỳ,Thế chấp bằng tài sản,-,2.180.000.000,,,,,2180000000.0
- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,VND,Theo từng thời kỳ,Thế chấp bằng tài sản,56.190.000.000,160.540.988.465,,,,56190000000.0,160540988465.0
- Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,VND,Theo từng thời kỳ,Tài sản hình thành từ dự án,24.224.020.339,20.448.024.000,,,,24224020339.0,20448024000.0
- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Theo từng thời kỳ,Thế chấp bằng tài sản,6.777.852.719,4.314.279.664,,,,6777852719.0,4314279664.0
- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,VND,Theo từng thời kỳ,Thế chấp bằng tài sản,1.182.110.424,950.321.041,,,,1182110424.0,950321041.0
- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,VND,Theo từng thời kỳ,Thế chấp bằng tài sản,1.115.795.400,1.213.990.800,,,,1115795400.0,1213990800.0
- Quỹ Bảo vệ môi trường,- Quỹ Bảo vệ môi trường,- Quỹ Bảo vệ môi trường,VND,"Từ 3,6% đến 5,4%",Chứng thư bảo lãnh,2.740.000.000,2.880.000.000,,,,2740000000.0,2880000000.0
