row_label_raw,row_label_full,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông_1,Cổ tức trên cổ phiếu phổ thông_2,numeric__Cổ tức trên cổ phiếu phổ thông_1,numeric__Cổ tức trên cổ phiếu phổ thông_2
Cổ tức đã công bố,Cổ tức đã công bố,Cổ tức đã công bố,648.329.150.000,-,648329150000.0,
Cổ tức đã trả bằng cổ phiếu,Cổ tức đã trả bằng cổ phiếu,Cổ tức đã trả bằng cổ phiếu,648.329.150.000,-,648329150000.0,
