row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,660.951.032.276,1.200.057.007.319,660951032276.0,1200057007319.0
Thuế TNDN theo thuế suất 20% áp dụng cho Nhóm Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Nhóm Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Nhóm Công ty,132.190.206.455,240.011.401.464,132190206455.0,240011401464.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Lỗ từ công ty con chưa ghi nhận thuế TNDN hoãn lại,Các khoản điều chỉnh: > Lỗ từ công ty con chưa ghi nhận thuế TNDN hoãn lại,Lỗ từ công ty con chưa ghi nhận thuế TNDN hoãn lại,53.549.615.554,79.817.010.771,53549615554.0,79817010771.0
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,21.817.680.678,6.499.177.103,21817680678.0,6499177103.0
Thay đổi lợi nhuận chưa thực hiện,Các khoản điều chỉnh: > Thay đổi lợi nhuận chưa thực hiện,Thay đổi lợi nhuận chưa thực hiện,7.085.861.109,319.893.730,7085861109.0,319893730.0
Phân bổ lợi thế thương mại,Các khoản điều chỉnh: > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,4.201.764.629,4.265.058.335,4201764629.0,4265058335.0
Doanh thu chưa thực hiện,Các khoản điều chỉnh: > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,-,(3.762.264.620),,-3762264620.0
Giám thuế TNDN,Các khoản điều chỉnh: > Giám thuế TNDN,Giám thuế TNDN,-,(5.156.295.462),,-5156295462.0
Lỗ thuế năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ thuế năm trước chuyển sang,Lỗ thuế năm trước chuyển sang,(1.456.290.923),(1.233.983.981),-1456290923.0,-1233983981.0
Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,Các khoản điều chỉnh: > Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,(1.619.642.199),1.474.993.094,-1619642199.0,1474993094.0
Thay đổi dự phòng nợ phải thu khó đòi,Các khoản điều chỉnh: > Thay đổi dự phòng nợ phải thu khó đòi,Thay đổi dự phòng nợ phải thu khó đòi,(15.278.017.429),(11.820.000.001),-15278017429.0,-11820000001.0
Thay đổi chi phí trích trước,Các khoản điều chỉnh: > Thay đổi chi phí trích trước,Thay đổi chi phí trích trước,(17.099.989.345),1.261.774.499,-17099989345.0,1261774499.0
Thay đổi dự phòng đầu tư,Các khoản điều chỉnh: > Thay đổi dự phòng đầu tư,Thay đổi dự phòng đầu tư,(43.550.837.158),10.381.426.661,-43550837158.0,10381426661.0
Khác,Các khoản điều chỉnh: > Khác,Khác,(4.627.854.060),3.170.935.486,-4627854060.0,3170935486.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,131.010.732.682,326.594.597.320,131010732682.0,326594597320.0
