row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 1.130.993.013.137 > 3.303.662.860.507,VNDNăm trước > 775.593.906.097 > 1.375.170.994.324,numeric__Năm nay > 1.130.993.013.137 > 3.303.662.860.507,numeric__VNDNăm trước > 775.593.906.097 > 1.375.170.994.324
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,100.000.000.000,30.000.000.000,100000000000.0,30000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(3.300.000.000),-,-3300000000.0,
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,687.500.000,198.881.118,687500000.0,198881118.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(392.596.776.721),(917.600.000),-392596776721.0,-917600000.0
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(1.821.862.782.158),(1.049.053.168.402),-1821862782158.0,-1049053168402.0
Số cuối năm,Số cuối năm,Số cuối năm,2.317.583.814.765,1.130.993.013.137,2317583814765.0,1130993013137.0
