row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 34),Số cuối năm > 100.000.000.000,VND Số đầu năm > -,numeric__Số cuối năm > 100.000.000.000,numeric__VND Số đầu năm > -
Ông Nguyễn Khắc Vinh,Ông Nguyễn Khắc Vinh,Ông Nguyễn Khắc Vinh,78.200.000.000,27.000.000.000,78200000000.0,27000000000.0
Công ty TNHH Dịch vụ Thương mại,Công ty TNHH Dịch vụ Thương mại,Công ty TNHH Dịch vụ Thương mại,,,,
Nam Hà Nội,Công ty TNHH Dịch vụ Thương mại > Nam Hà Nội,Nam Hà Nội,10.929.750.000,-,10929750000.0,
Công ty Cổ phần Kiến trúc Đô thị,Công ty Cổ phần Kiến trúc Đô thị,Công ty Cổ phần Kiến trúc Đô thị,,,,
Nam Thắng Long,Công ty Cổ phần Kiến trúc Đô thị > Nam Thắng Long,Nam Thắng Long,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Bà Lại Phương Lan,Công ty Cổ phần Kiến trúc Đô thị > Bà Lại Phương Lan,Bà Lại Phương Lan,8.000.000.000,-,8000000000.0,
Công ty Cổ phần Đầu tư Hưng Gia Phúc,Công ty Cổ phần Kiến trúc Đô thị > Công ty Cổ phần Đầu tư Hưng Gia Phúc,Công ty Cổ phần Đầu tư Hưng Gia Phúc,4.000.000.004,-,4000000004.0,
Khác,Công ty Cổ phần Kiến trúc Đô thị > Khác,Khác,3.117.160.000,3.980.182.201,3117160000.0,3980182201.0
TỔNG CỘNG,Công ty Cổ phần Kiến trúc Đô thị > TỔNG CỘNG,TỔNG CỘNG,214.246.910.004,40.980.182.201,214246910004.0,40980182201.0
