row_label_raw,row_label_full,col_0,VNDNhà cửa và vật kiến trúc,numeric__VNDNhà cửa và vật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,45.353.913.270,45353913270.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,7.189.445.709,7189445709.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(4.062.874.669),-4062874669.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,48.480.484.310,48480484310.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(1.753.424.570),-1753424570.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.589.556.969),-1589556969.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,206.103.040,206103040.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(3.136.878.499),-3136878499.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,43.600.488.700,43600488700.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,45.343.605.811,45343605811.0
