row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.224.710.220.000,340.683.172.475,(9.350.460.000),5.083.303.511,455.990.570.113,1.822.220.452.619,5.839.337.258.718,3224710220000.0,340683172475.0,-9350460000.0,5083303511.0,455990570113.0,1822220452619.0,5839337258718.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,357.301.860.000,764.677.916.235,-,-,-,-,1.121.979.776.235,357301860000.0,764677916235.0,,,,,1121979776235.0
Góp vốn tử cổ đông không kiểm soát,Năm trước > Góp vốn tử cổ đông không kiểm soát,Góp vốn tử cổ đông không kiểm soát,-,-,-,-,-,311.740.283.665,311.740.283.665,,,,,,311740283665.0,311740283665.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,538.795.531.509,334.666.878.490,873.462.409.999,,,,,538795531509.0,334666878490.0,873462409999.0
Cổ tức trả cho cổ đông không kiểm soát,Năm trước > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,(298.591.819.793),(298.591.819.793),,,,,,-298591819793.0,-298591819793.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(53.514.208.854),(19.314.499.799),(72.828.708.653),,,,,-53514208854.0,-19314499799.0,-72828708653.0
Tăng tỷ lệ sở hữu tại các công ty con,Năm trước > Tăng tỷ lệ sở hữu tại các công ty con,Tăng tỷ lệ sở hữu tại các công ty con,-,-,-,-,573.523.898,(573.523.898),-,,,,,573523898.0,-573523898.0,
Tăng do mua công ty con,Năm trước > Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,-,5.108.628.100,5.108.628.099,,,,,,5108628100.0,5108628099.0
Giảm do thanh lý công ty con,Năm trước > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,-,-,-,(16.682.784.765),(16.682.784.765),,,,,,-16682784765.0,-16682784765.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.582.012.080.000,1.105.361.088.710,(9.350.460.000),5.083.303.511,941.845.416.666,2.138.573.614.618,7.763.525.043.505,3582012080000.0,1105361088710.0,-9350460000.0,5083303511.0,941845416666.0,2138573614618.0,7763525043505.0
