row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__VND Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.582.012.080.000,1.105.361.088.710,(9.350.460.000),5.083.303.511,941.845.416.666,2.138.573.614.618,7.763.525.043.505,3582012080000.0,1105361088710.0,-9350460000.0,5083303511.0,941845416666.0,2138573614618.0,7763525043505.0
Tăng vốn từ thẳng dư vốn cổ phần (*),Năm nay > Tăng vốn từ thẳng dư vốn cổ phần (*),Tăng vốn từ thẳng dư vốn cổ phần (*),300.882.540.000,(300.857.540.000),-,-,-,-,25.000.000,300882540000.0,-300857540000.0,,,,,25000000.0
Góp vốn từ cổ đông không kiểm soát,Năm nay > Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,,-,-,-,-,339.095.747.252,339.095.747.252,,,,,,339095747252.0,339095747252.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,-,-,-,344.529.067.642,185.411.231.952,529.940.299.594,,,,,344529067642.0,185411231952.0,529940299594.0
Phát hành cổ phiếu trả cổ tức (*),Năm nay > Phát hành cổ phiếu trả cổ tức (*),Phát hành cổ phiếu trả cổ tức (*),648.329.150.000,-,-,-,(648.329.150.000),-,-,648329150000.0,,,,-648329150000.0,,
Cổ tức trả cho cổ đông không kiểm soát,Năm nay > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,,-,-,-,-,(370.760.057.286),(370.760.057.286),,,,,,-370760057286.0,-370760057286.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",,-,-,-,(54.752.766.930),(32.803.004.230),(87.555.771.160),,,,,-54752766930.0,-32803004230.0,-87555771160.0
Giảm do thanh lý công ty con,Năm nay > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,,-,33.853.924.043,1.110.616.074,96.271.197.992,(20.622.135.528),110.613.602.581,,,33853924043.0,1110616074.0,96271197992.0,-20622135528.0,110613602581.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.531.223.770.000,804.503.548.710,24.503.464.043,6.193.919.585,679.563.765.370,2.238.895.396.778,8.284.883.864.486,4531223770000.0,804503548710.0,24503464043.0,6193919585.0,679563765370.0,2238895396778.0,8284883864486.0
