row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,17.254.748.188,24.085.126.399,(7.149.515.847),(2.259.663.460),17254748188.0,24085126399.0,-7149515847.0,-2259663460.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,17.297.714.740,4.793.425.045,12.504.289.695,3.090.442.538,17297714740.0,4793425045.0,12504289695.0,3090442538.0
Dự phòng cáckhoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng cáckhoản phải thu,Dự phòng cáckhoản phải thu,8.621.652.281,242.464.802,8.379.187.479,(172.563.702),8621652281.0,242464802.0,8379187479.0,-172563702.0
Thuế TNDN đãnộp từ cáckhoản tiền thanhtoán theo tiến độcủa khách hàng,Tài sản thuế thu nhập hoãn lại > Thuế TNDN đãnộp từ cáckhoản tiền thanhtoán theo tiến độcủa khách hàng,Thuế TNDN đãnộp từ cáckhoản tiền thanhtoán theo tiến độcủa khách hàng,7.582.735,7.582.735,-,-,7582735.0,7582735.0,,
,,,43.181.697.944,29.447.736.617,,,43181697944.0,29447736617.0,,
Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,,,,
Dự phòng cáckhoản đầu tư,Thuế thu nhập hoãn lại > Dự phòng cáckhoản đầu tư,Dự phòng cáckhoản đầu tư,(24.539.415.780),(67.982.944.570),43.443.528.790,(64.710.029.227),-24539415780.0,-67982944570.0,43443528790.0,-64710029227.0
Khác,Thuế thu nhập hoãn lại > Khác,Khác,(728.203.451),(5.494.866.207),4.766.662.756,(2.641.030.121),-728203451.0,-5494866207.0,4766662756.0,-2641030121.0
,,,(25.267.619.231),(73.477.810.777),,,-25267619231.0,-73477810777.0,,
Thu nhập (chi phí) thuế TNDN hoãn lại tínhvào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại > Thu nhập (chi phí) thuế TNDN hoãn lại tínhvào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế TNDN hoãn lại tínhvào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế TNDN hoãn lại tínhvào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế TNDN hoãn lại tínhvào báo cáo kết quả kinh doanh hợp nhất,(61.944.152.873),66.692.843.972,,,-61944152873.0,66692843972.0
