row_label_raw,row_label_full,col_0,VND,numeric__VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,213.346.267.769,213346267769.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(3.258.036.318),-3258036318.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,210.088.231.451,210088231451.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,(32.277.993.209),-32277993209.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,(21.008.823.146),-21008823146.0
Giảm do thanh lý công ty con,Phân bổ lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,407.254.540,407254540.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,(52.879.561.815),-52879561815.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,181.068.274.560,181068274560.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,157.208.669.636,157208669636.0
