row_label_raw,row_label_full,21.1. Doanh thu chưa thực hiện ngắn hạn,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
"Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Doanh thu bán sản phẩm, hàng hóa, dịch vụ",2.092.307.432,2.023.681.818,2092307432.0,2023681818.0
"Doanh thu cho thuê hạ tầng, khu dân cư","Doanh thu cho thuê hạ tầng, khu dân cư","Doanh thu cho thuê hạ tầng, khu dân cư",167.321.465.570,60.725.615.868,167321465570.0,60725615868.0
Cộng,Cộng,Cộng,169.413.773.002,62.749.297.686,169413773002.0,62749297686.0
21.2. Doanh thu chưa thực hiện dài hạn,21.2. Doanh thu chưa thực hiện dài hạn,21.2. Doanh thu chưa thực hiện dài hạn,Cuối năm,Đầu năm,,
"Doanh thu bán sản phẩm, hàng hóa, dịch vụ","21.2. Doanh thu chưa thực hiện dài hạn > Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Doanh thu bán sản phẩm, hàng hóa, dịch vụ",295.630.507,99.047.398,295630507.0,99047398.0
"Doanh thu cho thuê hạ tầng, khu dân cư","21.2. Doanh thu chưa thực hiện dài hạn > Doanh thu cho thuê hạ tầng, khu dân cư","Doanh thu cho thuê hạ tầng, khu dân cư",5.397.542.055.768,3.749.008.798.785,5397542055768.0,3749008798785.0
Cộng,21.2. Doanh thu chưa thực hiện dài hạn > Cộng,Cộng,5.397.837.686.275,3.749.107.846.183,5397837686275.0,3749107846183.0
